pipeline_version,artifact,source,purpose
main_corrected_inverse_map_2026-08-31_v2,table_main_corrected_dataset_audit.tex,public dataset loaders,dataset validity and minor-point diagnostics
main_corrected_inverse_map_2026-08-31_v2,table_main_corrected_clean_benchmark_summary.tex,main_corrected_clean_benchmark_raw.csv,corrected clean AIME-family benchmark
main_corrected_inverse_map_2026-08-31_v2,table_main_corrected_stress_summary.tex,main_corrected_full_stress_raw.csv,corrected all-method controlled stress results
main_corrected_inverse_map_2026-08-31_v2,table_main_corrected_pairwise_cluster_ci.tex,main_corrected_full_stress_raw.csv,condition-cluster bootstrap method contrasts
main_corrected_inverse_map_2026-08-31_v2,table_main_corrected_missing_data_comparison.tex,main_corrected_missing_data_raw.csv,complete-case versus imputation sensitivity
main_corrected_inverse_map_2026-08-31_v2,table_main_corrected_runtime_scaling.tex,main_corrected_runtime_scaling_raw.csv,equation-consistent runtime scaling
main_corrected_inverse_map_2026-08-31_v2,fig_main_corrected_*.png,corrected clean/stress/runtime CSVs,main/core figures
