pipeline_version,dataset,learner,repeat,method,outlier_rate,clone_frac,n_outlier_rows,n_clones,d_original,d_total,model_fit_time_sec,model_test_accuracy,model_test_log_loss,explain_time_sec,n_explanation_fit,n_explanation_val,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,ridge_lambda,huber_delta,residual_mode,effective_delta_on_l2_norm,clean_target_reconstruction_mse,clean_target_reconstruction_rmse,clean_target_reconstruction_r2,clean_target_reconstruction_cosine,observed_target_reconstruction_mse,observed_target_reconstruction_rmse,observed_target_reconstruction_r2,observed_target_reconstruction_cosine,operator_cosine_flat,operator_spearman_global,operator_topk_jaccard,clone_mass_ratio,clone_topk_infiltration,irrelevant_decoy_mass_ratio,irrelevant_decoy_topk_infiltration,outlier_weight_ap,mean_weight_outlier_rows,mean_weight_nonoutlier_rows,bootstrap_cosine_flat,bootstrap_spearman_global,bootstrap_topk_jaccard,error,log10_cond_raw,log10_cond_reg,log10_coef_norm
main_corrected_inverse_map_2026-08-31_v2,breast_cancer,lgbm,0,AIME,0.0,0.0,0,0,30,30,1.0843806670745835,0.935672514619883,0.3509590460274741,0.000139000010676682,119,52,X ~= Y A^T,SVD normal-system solve,1.6873546273270734,1.6873546273270734,43.305205411665426,43.305205411665426,73.07123873872308,73.07123873872308,43.30520541166543,7.307123873872308e-11,4.86026158263163,1,True,1.0,0.0,0.0,1.0,rms,5.477225575051661,0.7376119929408291,0.8588434042017375,0.24621404130220925,0.5100977970330336,0.7376119929408291,0.8588434042017375,0.24621404130220925,0.5100977970330336,1.0,1.0,1.0,0.0,0.0,0.019625736650282184,0.0,,,,0.9850694341449705,0.960222469410456,0.8545454545454545,,0.22720636682499054,0.22720636682499054,0.6866596439199691
main_corrected_inverse_map_2026-08-31_v2,breast_cancer,lgbm,0,HuberAIME,0.0,0.0,0,0,30,30,1.0843806670745835,0.935672514619883,0.3509590460274741,0.0005424580303952098,119,52,X ~= Y A^T,SVD normal-system solve,1.7326302757815057,1.7326302757815057,41.55487943764555,41.55487943764555,71.99924222011504,71.99924222011504,41.55487943764555,7.199924222011503e-11,4.754519657517652,9,True,0.9741775588923809,0.11764705882352941,0.0,1.0,rms,5.477225575051661,0.7353185478312892,0.8575071707171255,0.2485577758634151,0.5117541900287661,0.7353185478312892,0.8575071707171255,0.2485577758634151,0.5117541900287661,1.0000000000000002,1.0,1.0,0.0,0.0,0.0202555641943037,0.0,,,,0.9878474851881907,0.9664516129032258,0.9636363636363636,,0.23870589894095234,0.23870589894095234,0.6771066473245483
main_corrected_inverse_map_2026-08-31_v2,breast_cancer,lgbm,0,RidgeAIME,0.0,0.0,0,0,30,30,1.0843806670745835,0.935672514619883,0.3509590460274741,0.00011179200373589993,119,52,X ~= Y A^T,SVD normal-system solve,1.6873546273270734,1.6871959406440038,43.305205411665426,43.315205411665424,73.07123873872308,73.08123873872309,43.31520541166542,7.308123873872308e-11,4.859239868544175,1,True,1.0,0.0,0.01,1.0,rms,5.477225575051661,0.7376045883142941,0.8588390933779704,0.24622160829347972,0.5100969978860019,0.7376045883142941,0.8588390933779704,0.24622160829347972,0.5100969978860019,1.0000000000000002,1.0,1.0,0.0,0.0,0.019626046098668123,0.0,,,,0.9850696139526548,0.960222469410456,0.8545454545454545,,0.22720636682499054,0.22716552182980004,0.686568337839276
main_corrected_inverse_map_2026-08-31_v2,breast_cancer,lgbm,0,HuberRidgeAIME,0.0,0.0,0,0,30,30,1.0843806670745835,0.935672514619883,0.3509590460274741,0.00053070904687047,119,52,X ~= Y A^T,SVD normal-system solve,1.7326412322419873,1.7324649667163994,41.554635500537735,41.56463550053772,71.99927485901833,72.00927485901835,41.56463550053773,7.200927485901833e-11,4.753466336251501,9,True,0.9741757772545282,0.11764705882352941,0.01,1.0,rms,5.477225575051661,0.7353142170269956,0.857504645484207,0.2485622016312954,0.511752079293169,0.7353142170269956,0.857504645484207,0.2485622016312954,0.511752079293169,0.9999999999999999,1.0,1.0,0.0,0.0,0.020256228337502027,0.0,,,,0.987847525599193,0.9664516129032258,0.9636363636363636,,0.23870864523677207,0.23866446122578758,0.6770104226107694
main_corrected_inverse_map_2026-08-31_v2,breast_cancer,svm,0,AIME,0.0,0.0,0,0,30,30,0.005823040963150561,0.9766081871345029,0.08237271585794079,0.00013983296230435371,119,52,X ~= Y A^T,SVD normal-system solve,1.6853448030506522,1.6853448030506522,41.34794004386943,41.34794004386943,69.6855358697853,69.6855358697853,41.34794004386942,6.96855358697853e-11,5.091609766170843,1,True,1.0,0.0,0.0,1.0,rms,5.477225575051661,0.7482154721742016,0.8649944925687109,0.3165994182191779,0.571662301724819,0.7482154721742016,0.8649944925687109,0.3165994182191779,0.571662301724819,0.9999999999999999,1.0,1.0,0.0,0.0,0.020000081934036098,0.0,,,,0.985960560304223,0.9751724137931035,0.9636363636363636,,0.2266887661824295,0.2266887661824295,0.7068551108313745
main_corrected_inverse_map_2026-08-31_v2,breast_cancer,svm,0,HuberAIME,0.0,0.0,0,0,30,30,0.005823040963150561,0.9766081871345029,0.08237271585794079,0.000580000109039247,119,52,X ~= Y A^T,SVD normal-system solve,1.7293361355523202,1.7293361355523202,39.617021486939684,39.617021486939684,68.51114684031751,68.51114684031751,39.617021486939684,6.85111468403175e-11,4.893641935169507,8,True,0.9653064422916523,0.14285714285714285,0.0,1.0,rms,5.477225575051661,0.7612375419154357,0.8724892789687652,0.30470539788932594,0.5615926157395791,0.7612375419154357,0.8724892789687652,0.30470539788932594,0.5615926157395791,1.0,1.0,1.0,0.0,0.0,0.019721458865737954,0.0,,,,0.9868437009747613,0.9771301446051167,0.9636363636363636,,0.23787941642440996,0.23787941642440996,0.6896321891128213
main_corrected_inverse_map_2026-08-31_v2,breast_cancer,svm,0,RidgeAIME,0.0,0.0,0,0,30,30,0.005823040963150561,0.9766081871345029,0.08237271585794079,0.00012145808432251215,119,52,X ~= Y A^T,SVD normal-system solve,1.6853448030506522,1.685179092475531,41.34794004386943,41.35794004386943,69.6855358697853,69.6955358697853,41.35794004386942,6.96955358697853e-11,5.09045440218647,1,True,1.0,0.0,0.01,1.0,rms,5.477225575051661,0.748234604361916,0.8650055516364713,0.31658194337576584,0.5716564315251398,0.748234604361916,0.8650055516364713,0.31658194337576584,0.5716564315251398,1.0,1.0,1.0,0.0,0.0,0.0200002380643669,0.0,,,,0.985959924156489,0.9751724137931035,0.9636363636363636,,0.2266887661824295,0.2266460623235299,0.7067565516007785
main_corrected_inverse_map_2026-08-31_v2,breast_cancer,svm,0,HuberRidgeAIME,0.0,0.0,0,0,30,30,0.005823040963150561,0.9766081871345029,0.08237271585794079,0.00047941599041223526,119,52,X ~= Y A^T,SVD normal-system solve,1.729346355621029,1.7291623017476687,39.61678656556408,39.626786565564075,68.51114546857437,68.52114546857437,39.62678656556408,6.852114546857438e-11,4.892471083894862,8,True,0.9653042674538327,0.14285714285714285,0.01,1.0,rms,5.477225575051661,0.7612610673130025,0.8725027606334563,0.3046839104021225,0.5615835050091914,0.7612610673130025,0.8725027606334563,0.3046839104021225,0.5615835050091914,1.0000000000000002,1.0,1.0,0.0,0.0,0.01972163971047819,0.0,,,,0.9868435027857501,0.9771301446051167,0.9636363636363636,,0.23788198301990185,0.23783575871366605,0.6895282675151158
main_corrected_inverse_map_2026-08-31_v2,breast_cancer,mlp,0,AIME,0.0,0.0,0,0,30,30,0.02807116589974612,0.9649122807017544,0.10093164046099767,0.00012683309614658356,119,52,X ~= Y A^T,SVD normal-system solve,1.8978843914455874,1.8978843914455874,37.24858266896837,37.24858266896837,70.69350365090568,70.69350365090568,37.248582668968375,7.069350365090566e-11,6.067181581465934,1,True,1.0,0.0,0.0,1.0,rms,5.477225575051661,0.9282956598315781,0.9634810116611423,0.27245489120496047,0.529824008532404,0.9282956598315781,0.9634810116611423,0.27245489120496047,0.529824008532404,1.0,1.0,1.0,0.0,0.0,0.016209601399339676,0.0,,,,0.9861232311720771,0.9363737486095662,0.7766233766233767,,0.27826975409421806,0.27826975409421806,0.782986992908212
main_corrected_inverse_map_2026-08-31_v2,breast_cancer,mlp,0,HuberAIME,0.0,0.0,0,0,30,30,0.02807116589974612,0.9649122807017544,0.10093164046099767,0.0004815829452127218,119,52,X ~= Y A^T,SVD normal-system solve,1.9650993138901283,1.9650993138901283,34.90484916411252,34.90484916411252,68.59149514383593,68.59149514383593,34.90484916411252,6.859149514383591e-11,5.761988691784122,8,True,0.9612110173183365,0.14285714285714285,0.0,1.0,rms,5.477225575051661,0.9444037666036129,0.9718043870057456,0.2598302773011656,0.5172882075447127,0.9444037666036129,0.9718043870057456,0.2598302773011656,0.5172882075447127,0.9999999999999998,1.0,1.0,0.0,0.0,0.014993355585207894,0.0,,,,0.9848210420639651,0.9348609566184649,0.834965034965035,,0.29338450401655125,0.29338450401655125,0.760572401618713
