pipeline_version,method,outlier_rate,clean_target_reconstruction_r2__mean,clean_target_reconstruction_r2__std,clean_target_reconstruction_r2__median,clean_target_reconstruction_r2__count,clean_target_reconstruction_cosine__mean,clean_target_reconstruction_cosine__std,clean_target_reconstruction_cosine__median,clean_target_reconstruction_cosine__count,operator_cosine_flat__mean,operator_cosine_flat__std,operator_cosine_flat__median,operator_cosine_flat__count,operator_topk_jaccard__mean,operator_topk_jaccard__std,operator_topk_jaccard__median,operator_topk_jaccard__count,bootstrap_cosine_flat__mean,bootstrap_cosine_flat__std,bootstrap_cosine_flat__median,bootstrap_cosine_flat__count,irrelevant_decoy_mass_ratio__mean,irrelevant_decoy_mass_ratio__std,irrelevant_decoy_mass_ratio__median,irrelevant_decoy_mass_ratio__count,irrelevant_decoy_topk_infiltration__mean,irrelevant_decoy_topk_infiltration__std,irrelevant_decoy_topk_infiltration__median,irrelevant_decoy_topk_infiltration__count,clone_mass_ratio__mean,clone_mass_ratio__std,clone_mass_ratio__median,clone_mass_ratio__count,log10_cond_reg__mean,log10_cond_reg__std,log10_cond_reg__median,log10_cond_reg__count,log10_coef_norm__mean,log10_coef_norm__std,log10_coef_norm__median,log10_coef_norm__count,explain_time_sec__mean,explain_time_sec__std,explain_time_sec__median,explain_time_sec__count
main_corrected_inverse_map_2026-08-31_v2,AIME,0.0,0.28040372136508784,0.20137669158059443,0.3165994182191779,81,0.4927260581121434,0.22017458294880154,0.571662301724819,81,1.0,1.2350451473345786e-16,1.0,81,1.0,0.0,1.0,81,0.9686788652851144,0.03198626802593158,0.9853963997389042,81,0.01418550471113151,0.01231406202740296,0.013220433533584958,81,0.0027434842249657062,0.017349962126611353,0.0,81,0.14929867172075817,0.12270887105462149,0.14949644962536,81,0.25241083589721747,0.14632052775674792,0.219653638505118,81,0.9846770670029416,0.49391497240213167,0.7459378477026231,81,0.0005449058479388003,0.000554919590652439,0.00015612493734806776,81
main_corrected_inverse_map_2026-08-31_v2,AIME,0.05,0.26150661597218516,0.20129020113692192,0.3049063426205224,81,0.47858903995565194,0.22071690899334573,0.5620188157562513,81,0.9577663626805551,0.04797669078336976,0.9752458219025387,81,0.5401328213505716,0.31606905391635026,0.5384615384615384,81,0.9442797067846543,0.048782307299727885,0.9673245732192601,81,0.018789494677548653,0.016243051851413785,0.017567042794700803,81,0.01783264746227709,0.051089337522366815,0.0,81,0.15136033812572194,0.12986918800397512,0.1451341376920412,81,0.27651749245115,0.1869358222158505,0.2315404772221476,81,1.0264225032501337,0.47171810960219956,0.8176334008161436,81,0.0005412984015650035,0.0005664358961454457,0.000156833091750741,81
main_corrected_inverse_map_2026-08-31_v2,AIME,0.1,0.25292648568680737,0.20926943502882683,0.3011357588328245,81,0.47707192931989323,0.22056314591489587,0.557053075498548,81,0.9289636943388383,0.07344834903873482,0.9607775751947109,81,0.4734155232664578,0.2747116922906172,0.5384615384615384,81,0.9322361803114021,0.05492482284874896,0.9593842372344092,81,0.02142549184496689,0.01802014645689229,0.022116061812880793,81,0.03155006858710562,0.07078607988382539,0.0,81,0.16169744755147514,0.1402403787472747,0.15306625516953978,81,0.30048470118510767,0.1906229425396443,0.24228953710403914,81,1.0619175778471028,0.45184011877753194,0.8738185118249798,81,0.0005290731198418839,0.0005426745386551133,0.00015891692601144314,81
main_corrected_inverse_map_2026-08-31_v2,HuberAIME,0.0,0.2807868850167458,0.20012805971727712,0.31045723850862106,81,0.4932923642210143,0.21862163569904847,0.5727226297863318,81,1.0,1.4739229889206566e-16,1.0,81,1.0,0.0,1.0,81,0.9728364657303941,0.027475879293698213,0.9863413703224806,81,0.013986668993344392,0.011873231483341525,0.014184842151534859,81,0.0027434842249657062,0.017349962126611353,0.0,81,0.14829878291817578,0.12170532916475742,0.14953898400850918,81,0.2635686574076466,0.14428153340601332,0.2325328911052877,81,0.9732458178242638,0.4950700008456837,0.7332524950517182,81,0.002170692936712761,0.0022963292852855497,0.0006212498992681503,81
main_corrected_inverse_map_2026-08-31_v2,HuberAIME,0.05,0.2793970284706945,0.1964746908769621,0.3237393541308716,81,0.49373513460706736,0.2147917045818886,0.5816589167916476,81,0.996586225616157,0.004731632007930887,0.9984106327400879,81,0.7647565054972463,0.2001368721238406,0.8181818181818182,81,0.9714801281123839,0.02754359033776728,0.9850444216391651,81,0.015568672764297162,0.012664176058032212,0.014689189184635456,81,0.0013717421124828531,0.012345679012345677,0.0,81,0.15089888112459107,0.13071906124449648,0.14452896517140176,81,0.28936104802477836,0.19871144916694305,0.24094475666405868,81,0.9954516842570963,0.48619266067113553,0.7828433296069224,81,0.002190849692043331,0.0022785855116237374,0.000594249926507473,81
main_corrected_inverse_map_2026-08-31_v2,HuberAIME,0.1,0.2873441558291138,0.19775684742935984,0.3294714896151274,81,0.5030810717554992,0.210993815444287,0.5809521055495076,81,0.9932216034085279,0.007832505304659329,0.9971807936211469,81,0.7083385024561495,0.23612207932488952,0.8181818181818182,81,0.9714406935852787,0.027758349405463716,0.9863853500525612,81,0.016680176592002608,0.014298962169656553,0.0163380067331723,81,0.008230452674897118,0.034146460952936615,0.0,81,0.16124306999643764,0.14112155509566138,0.1528209689383297,81,0.31202044539746415,0.2044090140276502,0.24307770321480215,81,1.0147938884008472,0.47442529185926197,0.7718260269714171,81,0.0021528775248975483,0.00228113520971976,0.0005949579644948244,81
main_corrected_inverse_map_2026-08-31_v2,HuberRidgeAIME,0.0,0.2807882526582018,0.200125372458066,0.31042671030574787,81,0.4932907275701434,0.21862254084892163,0.5727219890479811,81,1.0,1.3877787807814457e-16,1.0,81,1.0,0.0,1.0,81,0.9728352127012442,0.02747729090171638,0.9863412738619953,81,0.013987103558752179,0.011873468942749935,0.014185695616563696,81,0.0027434842249657062,0.017349962126611353,0.0,81,0.14829872708177244,0.12170524291190586,0.14953904416186362,81,0.263513197124497,0.14421394017112155,0.23249004169769985,81,0.973140268949094,0.49509674814723437,0.7331517596576402,81,0.002171786563804396,0.002306217626289941,0.0006065419875085354,81
main_corrected_inverse_map_2026-08-31_v2,HuberRidgeAIME,0.05,0.27939752442991406,0.1964697604698279,0.3237221448558565,81,0.49373163933689673,0.2147944154902502,0.5816578958892322,81,0.9965861540315585,0.004731172583407657,0.9984106423274001,81,0.7647565054972463,0.2001368721238406,0.8181818181818182,81,0.9714789903621037,0.027544656914507654,0.9850449264555957,81,0.015569263926989766,0.01266443967847782,0.014689526979593678,81,0.0013717421124828531,0.012345679012345677,0.0,81,0.15089858982272922,0.13071847093286854,0.14452896881014182,81,0.28927991327434194,0.19855028806063824,0.24090042866329625,81,0.9953187191339076,0.48621250158104656,0.7827408571470216,81,0.002170078199138336,0.002304585621903569,0.000596500001847744,81
main_corrected_inverse_map_2026-08-31_v2,HuberRidgeAIME,0.1,0.28734505617580536,0.1977503926604337,0.32944259002816867,81,0.5030777255977782,0.2109963167075556,0.5809483635383946,81,0.993221292426312,0.007832714869904596,0.9971806433690238,81,0.7083385024561495,0.23612207932488952,0.8181818181818182,81,0.9714392577602643,0.027759930861151447,0.9863835815679932,81,0.016680892533833126,0.014299270423457057,0.01633870636094666,81,0.008230452674897118,0.034146460952936615,0.0,81,0.16124280328194723,0.1411211398168937,0.1528208870079106,81,0.3119301494319211,0.20426020983943868,0.24303536450187666,81,1.014650674777946,0.47445295052122766,0.7717112256668367,81,0.0021438096580957927,0.002273733309426237,0.0005939590046182275,81
main_corrected_inverse_map_2026-08-31_v2,RidgeAIME,0.0,0.28040795511860306,0.20137454768407204,0.31658194337576584,81,0.4927247841075318,0.2201756851825326,0.5716564315251398,81,1.0,1.2839766479167266e-16,1.0,81,1.0,0.0,1.0,81,0.9686773700799431,0.03198801700229133,0.9853962878248058,81,0.014185842348500333,0.012314279705628142,0.013221068248162044,81,0.0027434842249657062,0.017349962126611353,0.0,81,0.14929866861343255,0.12270886654203529,0.14949648663312426,81,0.25235723344413347,0.14625534824788922,0.21961568376696877,81,0.9845775542941776,0.4939402458653415,0.7458342656150472,81,0.0005203122086248096,0.0005400727759782523,0.00014112493954598904,81
