pipeline_version,protocol,learner,repeat,method,n_after_protocol,d_after_encoding,raw_missing_cells,model_fit_time_sec,model_test_accuracy,model_test_log_loss,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,ridge_lambda,huber_delta,residual_mode,effective_delta_on_l2_norm,clean_target_reconstruction_mse,clean_target_reconstruction_rmse,clean_target_reconstruction_r2,clean_target_reconstruction_cosine,bootstrap_cosine_flat,bootstrap_spearman_global,bootstrap_topk_jaccard,irrelevant_decoy_mass_ratio,irrelevant_decoy_topk_infiltration,error,log10_cond_reg,log10_coef_norm
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,0,AIME,690,42,67,1.2584522500401363,0.8647342995169082,0.42092231407947767,X ~= Y A^T,SVD normal-system solve,1.3336431448100217,1.3336431448100217,54.383870371766335,54.383870371766335,72.52867590954301,72.52867590954301,54.38387037176634,7.252867590954301e-11,2.3678331558229133,1,True,1.0,0.0,0.0,1.0,rms,6.48074069840786,1.0213823793840924,1.0106346418880032,0.034856446960971565,0.22628798992134785,0.9138267490299766,0.7954959291694286,0.5677655677655677,0.042118084569942045,0.0,,0.12503963694728976,0.3743510975195322
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,0,HuberAIME,690,42,67,1.2584522500401363,0.8647342995169082,0.42092231407947767,X ~= Y A^T,SVD normal-system solve,1.3398998845394723,1.3398998845394723,52.063214960590166,52.063214960590166,69.75949571444849,69.75949571444849,52.063214960590166,6.975949571444848e-11,2.3692370545983867,7,True,0.9608355433930539,0.1736111111111111,0.0,1.0,rms,6.48074069840786,1.023384073617428,1.0116244726267885,0.032964968976375464,0.22220722339589674,0.920634115897025,0.8346294695506067,0.6283716283716283,0.03673437103909857,0.0,,0.12707234969586187,0.37460851633838277
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,0,RidgeAIME,690,42,67,1.2584522500401363,0.8647342995169082,0.42092231407947767,X ~= Y A^T,SVD normal-system solve,1.3336431448100217,1.3335818064381555,54.383870371766335,54.39387037176634,72.52867590954301,72.53867590954302,54.39387037176634,7.253867590954302e-11,2.3674045714812157,1,True,1.0,0.0,0.01,1.0,rms,6.48074069840786,1.0213829238104009,1.0106349112366944,0.03485593251158181,0.22628677227364138,0.913824717906157,0.7954959291694286,0.5677655677655677,0.04211842989674009,0.0,,0.125019661941865,0.37427248190365114
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,0,HuberRidgeAIME,690,42,67,1.2584522500401363,0.8647342995169082,0.42092231407947767,X ~= Y A^T,SVD normal-system solve,1.3398999056127112,1.3398346321572674,52.063220775695726,52.073220775695724,69.75950460324844,69.76950460324845,52.07322077569572,6.976950460324843e-11,2.3687888325652398,7,True,0.9608356695857698,0.1736111111111111,0.01,1.0,rms,6.48074069840786,1.0233843220939525,1.0116245954374343,0.032964734181336386,0.2222056992110568,0.9206324330271851,0.8346294695506067,0.6283716283716283,0.036734729972270806,0.0,,0.12705119928013847,0.3745263469451039
main_corrected_inverse_map_2026-08-31_v2,impute,svm,0,AIME,690,42,67,0.021750374929979444,0.8357487922705314,0.407872946484594,X ~= Y A^T,SVD normal-system solve,1.8184123222404294,1.8184123222404294,39.796097952075044,39.796097952075044,72.36571489314038,72.36571489314038,39.796097952075044,7.23657148931404e-11,2.7832209054131147,1,True,1.0,0.0,0.0,1.0,rms,6.48074069840786,0.6971853043999975,0.8349762298413036,0.017531932471398504,0.21531037751767496,0.8975852307198788,0.7421358676022651,0.37673992673992673,0.038961349728365666,0.0,,0.25969236566835047,0.4445476778376426
main_corrected_inverse_map_2026-08-31_v2,impute,svm,0,HuberAIME,690,42,67,0.021750374929979444,0.8357487922705314,0.407872946484594,X ~= Y A^T,SVD normal-system solve,1.7771154637312938,1.7771154637312938,38.84042189832768,38.84042189832768,69.0239143733657,69.0239143733657,38.84042189832769,6.90239143733657e-11,2.7587010931503855,7,True,0.952343717797806,0.1736111111111111,0.0,1.0,rms,6.48074069840786,0.6917859738184622,0.8317367214560519,0.025140626815514544,0.22881718829664816,0.922471678705319,0.8419626894641457,0.5934065934065933,0.03457100767682563,0.0,,0.2497156459439018,0.440704646971456
main_corrected_inverse_map_2026-08-31_v2,impute,svm,0,RidgeAIME,690,42,67,0.021750374929979444,0.8357487922705314,0.407872946484594,X ~= Y A^T,SVD normal-system solve,1.8184123222404294,1.818206722504624,39.796097952075044,39.80609795207504,72.36571489314038,72.37571489314038,39.806097952075035,7.237571489314038e-11,2.7825435218857844,1,True,1.0,0.0,0.01,1.0,rms,6.48074069840786,0.6971822428083074,0.8349743964986636,0.01753624684241628,0.21530692693508205,0.8975773166839958,0.7421358676022651,0.37673992673992673,0.03896222442977743,0.0,,0.2596432591604993,0.44444196587899004
main_corrected_inverse_map_2026-08-31_v2,impute,svm,0,HuberRidgeAIME,690,42,67,0.021750374929979444,0.8357487922705314,0.407872946484594,X ~= Y A^T,SVD normal-system solve,1.7771145030845676,1.77691447597702,38.84045945069259,38.85045945069258,69.02394379629386,69.03394379629387,38.85045945069258,6.903394379629386e-11,2.758001973287485,7,True,0.9523442763967489,0.1736111111111111,0.01,1.0,rms,6.48074069840786,0.691783888057019,0.8317354675959292,0.025143566054195543,0.22881518902624637,0.922465983073381,0.8419626894641457,0.5934065934065933,0.034571922230358355,0.0,,0.24966652543890602,0.440594572567735
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,0,AIME,690,42,67,0.03145941602997482,0.8019323671497585,0.4657074795581009,X ~= Y A^T,SVD normal-system solve,3.8399115004178537,3.8399115004178537,19.0316044420272,19.0316044420272,73.07967676834375,73.07967676834375,19.031604442027202,7.307967676834375e-11,4.814576589098382,1,True,1.0,0.0,0.0,1.0,rms,6.48074069840786,1.2079990204070767,1.0990900874846778,0.021162273386260533,0.19796602916955364,0.9546022357818382,0.8486311023335865,0.598068598068598,0.020919652298301356,0.0,,0.5843212151688111,0.6825580997463969
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,0,HuberAIME,690,42,67,0.03145941602997482,0.8019323671497585,0.4657074795581009,X ~= Y A^T,SVD normal-system solve,3.86669257776238,3.86669257776238,18.29294636718081,18.29294636718081,70.73319994338334,70.73319994338334,18.29294636718081,7.073319994338332e-11,4.8042326124766666,7,True,0.9701030959832972,0.13194444444444445,0.0,1.0,rms,6.48074069840786,1.2079637850911729,1.0990740580557676,0.02119082444957543,0.19791546960794063,0.9644056996159257,0.8773971141771479,0.7379953379953379,0.016824676730939948,0.0,,0.5873396447679934,0.6816240270134116
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,0,RidgeAIME,690,42,67,0.03145941602997482,0.8019323671497585,0.4657074795581009,X ~= Y A^T,SVD normal-system solve,3.8399115004178537,3.8384200759378087,19.0316044420272,19.041604442027193,73.07967676834375,73.08967676834374,19.041604442027197,7.308967676834373e-11,4.812086559017769,1,True,1.0,0.0,0.01,1.0,rms,6.48074069840786,1.2079815475810132,1.0990821386871015,0.021176431561104048,0.19795729267933584,0.9545959234786313,0.8487680292294082,0.598068598068598,0.02092090757354538,0.0,,0.5841525021030719,0.6823334307554367
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,0,HuberRidgeAIME,690,42,67,0.03145941602997482,0.8019323671497585,0.4657074795581009,X ~= Y A^T,SVD normal-system solve,3.8667021712439427,3.8651359152401343,18.29289661633628,18.302896616336273,70.73318306472846,70.74318306472846,18.30289661633627,7.074318306472845e-11,4.801638565641817,7,True,0.9701026146554393,0.13194444444444445,0.01,1.0,rms,6.48074069840786,1.2079459398963726,1.0990659397399105,0.021205284353610354,0.19790602080562864,0.9644006755202261,0.8773971141771479,0.7379953379953379,0.016826496583959336,0.0,,0.5871647702338924,0.6813894662468409
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,1,AIME,690,42,67,1.376226874999702,0.821256038647343,0.511257347243598,X ~= Y A^T,SVD normal-system solve,1.5340896721244202,1.5340896721244202,50.353771036990366,50.353771036990366,77.24720010036468,77.24720010036468,50.353771036990366,7.724720010036468e-11,2.5736675174631527,1,True,1.0,0.0,0.0,1.0,rms,6.48074069840786,1.0424808701920782,1.021019524882888,0.013421304204177864,0.16402169882280826,0.9138245854436784,0.801919123130064,0.5934065934065933,0.03013562970191248,0.0,,0.18585074616484892,0.410552441302778
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,1,HuberAIME,690,42,67,1.376226874999702,0.821256038647343,0.511257347243598,X ~= Y A^T,SVD normal-system solve,1.6058151516452057,1.6058151516452057,46.993916550107954,46.993916550107954,75.46354323131375,75.46354323131375,46.99391655010796,7.546354323131374e-11,2.3826076037637143,8,True,0.9593112846375728,0.14583333333333334,0.0,1.0,rms,6.48074069840786,1.0400347483924959,1.0198209393773476,0.015736254745519873,0.1642179033225089,0.9146804340567014,0.7876188275174975,0.6606060606060606,0.03301038595399628,0.0,,0.20569555137802387,0.3770525234407078
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,1,RidgeAIME,690,42,67,1.376226874999702,0.821256038647343,0.511257347243598,X ~= Y A^T,SVD normal-system solve,1.5340896721244202,1.5339836257221897,50.353771036990366,50.363771036990364,77.24720010036468,77.25720010036468,50.36377103699037,7.725720010036467e-11,2.5731726709726996,1,True,1.0,0.0,0.01,1.0,rms,6.48074069840786,1.0424736300077915,1.0210159793107019,0.013428156139570935,0.1640220190395147,0.9138221683695195,0.801919123130064,0.5934065934065933,0.03013639863110629,0.0,,0.18582072382648754,0.41046893021908903
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,1,HuberRidgeAIME,690,42,67,1.376226874999702,0.821256038647343,0.511257347243598,X ~= Y A^T,SVD normal-system solve,1.6058150071491726,1.6056861210833928,46.993918032888224,47.00391803288823,75.46353882195004,75.47353882195004,47.00391803288822,7.547353882195004e-11,2.3821205659899514,8,True,0.9593113229255847,0.14583333333333334,0.01,1.0,rms,6.48074069840786,1.0400292538215525,1.0198182454837492,0.015741454674641053,0.16421826006405463,0.9146777953962207,0.7876188275174975,0.6606060606060606,0.033011285685964835,0.0,,0.20566065351794935,0.3769637385989184
main_corrected_inverse_map_2026-08-31_v2,impute,svm,1,AIME,690,42,67,0.02089575002901256,0.821256038647343,0.42506109868391695,X ~= Y A^T,SVD normal-system solve,2.186969529711929,2.186969529711929,33.90521004011981,33.90521004011981,74.149661256225,74.149661256225,33.90521004011982,7.4149661256225e-11,3.1028270173968084,1,True,1.0,0.0,0.0,1.0,rms,6.48074069840786,0.8629914644596748,0.9289733389391079,0.005995322306973083,0.16223862980947867,0.9302188768203754,0.8242217173603524,0.731934731934732,0.0451677560033043,0.1111111111111111,,0.33984273220537514,0.4917575643421056
main_corrected_inverse_map_2026-08-31_v2,impute,svm,1,HuberAIME,690,42,67,0.02089575002901256,0.821256038647343,0.42506109868391695,X ~= Y A^T,SVD normal-system solve,2.1437919516867634,2.1437919516867634,33.33548557783513,33.33548557783513,71.46434568733312,71.46434568733312,33.335485577835136,7.14643456873331e-11,3.0792468726729227,6,True,0.9629586877972918,0.1388888888888889,0.0,1.0,rms,6.48074069840786,0.8601325157364751,0.927433294494259,0.009288296248406325,0.16700705400721436,0.9419336001369935,0.8973642437771909,0.7272727272727273,0.04236398386067336,0.1111111111111111,,0.33118263614267074,0.48844450902062997
main_corrected_inverse_map_2026-08-31_v2,impute,svm,1,RidgeAIME,690,42,67,0.02089575002901256,0.821256038647343,0.42506109868391695,X ~= Y A^T,SVD normal-system solve,2.186969529711929,2.1866195482350905,33.90521004011981,33.91521004011982,74.149661256225,74.159661256225,33.91521004011982,7.415966125622501e-11,3.101941007633352,1,True,1.0,0.0,0.01,1.0,rms,6.48074069840786,0.862980758745954,0.9289675768001562,0.006007653285846848,0.16223542224084936,0.9302113141036816,0.8242217173603524,0.731934731934732,0.04516917605566132,0.1111111111111111,,0.3397732263502183,0.4916335341923096
main_corrected_inverse_map_2026-08-31_v2,impute,svm,1,HuberRidgeAIME,690,42,67,0.02089575002901256,0.821256038647343,0.42506109868391695,X ~= Y A^T,SVD normal-system solve,2.1437928838090485,2.143449870698639,33.33545675055086,33.345456750550845,71.46431496035524,71.47431496035526,33.34545675055085,7.147431496035524e-11,3.078338244537747,6,True,0.9629581607507524,0.1388888888888889,0.01,1.0,rms,6.48074069840786,0.8601221464966426,0.9274277041886567,0.009300239672324295,0.16700497027989158,0.9419280484324247,0.8973642437771909,0.7272727272727273,0.042365791460798156,0.1111111111111111,,0.331113331031377,0.48831633793389334
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,1,AIME,690,42,67,0.031375958933494985,0.8309178743961353,0.43454132738993095,X ~= Y A^T,SVD normal-system solve,3.8981315628440534,3.8981315628440534,18.593238080366824,18.593238080366824,72.4788882165519,72.4788882165519,18.593238080366834,7.247888821655187e-11,4.921485312370753,1,True,1.0,0.0,0.0,1.0,rms,6.48074069840786,1.19472619675452,1.0930353135898767,0.01844960144012875,0.19862255906022386,0.9436277969695596,0.8139546552671589,0.6456876456876457,0.01769195822194569,0.0,,0.5908564925684141,0.6920961933397575
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,1,HuberAIME,690,42,67,0.031375958933494985,0.8309178743961353,0.43454132738993095,X ~= Y A^T,SVD normal-system solve,3.941376632140275,3.941376632140275,17.937462235060607,17.937462235060607,70.69829449316654,70.69829449316654,17.93746223506061,7.069829449316654e-11,4.846820706609415,7,True,0.974215866392306,0.09722222222222222,0.0,1.0,rms,6.48074069840786,1.1894469978451827,1.0906177138874935,0.02278682934022258,0.20609077210000648,0.9622045985135506,0.8786178753785651,0.7016317016317016,0.018034019012758872,0.0,,0.5956479373890137,0.6854569546164325
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,1,RidgeAIME,690,42,67,0.031375958933494985,0.8309178743961353,0.43454132738993095,X ~= Y A^T,SVD normal-system solve,3.8981315628440534,3.896573698804296,18.593238080366824,18.603238080366825,72.4788882165519,72.48888821655189,18.603238080366825,7.24888882165519e-11,4.91887973538866,1,True,1.0,0.0,0.01,1.0,rms,6.48074069840786,1.1947111716103034,1.0930284404398192,0.018461945637765043,0.19861350960926874,0.9436228545168996,0.8139546552671589,0.6456876456876457,0.01769294992184799,0.0,,0.5906828947883006,0.6918662043654764
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,1,HuberRidgeAIME,690,42,67,0.031375958933494985,0.8309178743961353,0.43454132738993095,X ~= Y A^T,SVD normal-system solve,3.941376849102294,3.939737966970583,17.93745816182486,17.947458161824862,70.6982823307575,70.70828233075748,17.94745816182486,7.07082823307575e-11,4.8441621649687825,7,True,0.9742157574748328,0.09722222222222222,0.01,1.0,rms,6.48074069840786,1.1894369946926049,1.0906131278746853,0.022795047623563325,0.20607884477494143,0.9622006207690786,0.8786178753785651,0.7016317016317016,0.018035229307203398,0.0,,0.5954673377435726,0.6852186733174764
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,2,AIME,690,42,67,1.355570208048448,0.8743961352657005,0.3482357812202646,X ~= Y A^T,SVD normal-system solve,1.3438197427298129,1.3438197427298129,55.858237339588776,55.858237339588776,75.06340213102702,75.06340213102702,55.858237339588776,7.506340213102702e-11,2.324346340993459,1,True,1.0,0.0,0.0,1.0,rms,6.48074069840786,1.308340567546874,1.1438271580736636,0.011593210683218724,0.16225210885233668,0.9120068631398366,0.6943331982164571,0.5173453996983408,0.028392270209017953,0.0,,0.12834101723863314,0.3663008409194483
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,2,HuberAIME,690,42,67,1.355570208048448,0.8743961352657005,0.3482357812202646,X ~= Y A^T,SVD normal-system solve,1.3428929318343081,1.3428929318343081,53.322914541069,53.322914541069,71.60696504200641,71.60696504200641,53.322914541069,7.16069650420064e-11,2.2763146905488174,7,True,0.9564886728085106,0.1388888888888889,0.0,1.0,rms,6.48074069840786,1.3060762108930288,1.142836913515235,0.013303855102272166,0.16598444689220365,0.9231484488018318,0.7279935143899472,0.5576923076923077,0.025119966044631653,0.0,,0.12804138797238365,0.35723230118591626
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,2,RidgeAIME,690,42,67,1.355570208048448,0.8743961352657005,0.3482357812202646,X ~= Y A^T,SVD normal-system solve,1.3438197427298129,1.3437582015466467,55.858237339588776,55.868237339588774,75.06340213102702,75.07340213102702,55.86823733958878,7.507340213102702e-11,2.32394163698617,1,True,1.0,0.0,0.01,1.0,rms,6.48074069840786,1.3083381331912753,1.1438260939457865,0.011595049756057407,0.1622511337602486,0.9120043666027128,0.6943331982164571,0.5173453996983408,0.028392672574777122,0.0,,0.12832112795778797,0.3662252170689268
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,2,HuberRidgeAIME,690,42,67,1.355570208048448,0.8743961352657005,0.3482357812202646,X ~= Y A^T,SVD normal-system solve,1.342892734939276,1.3428284420457604,53.32291382423382,53.33291382423382,71.60695358035669,71.6169535803567,53.33291382423382,7.161695358035669e-11,2.2758972953881855,7,True,0.9564885815166976,0.1388888888888889,0.01,1.0,rms,6.48074069840786,1.3060743676792181,1.1428361070946342,0.013305247587600322,0.16598357564917474,0.9231462020190555,0.7279935143899472,0.5576923076923077,0.0251204216479064,0.0,,0.12802053133432495,0.3571526597210181
main_corrected_inverse_map_2026-08-31_v2,impute,svm,2,AIME,690,42,67,0.021209250087849796,0.8840579710144928,0.3697652672762235,X ~= Y A^T,SVD normal-system solve,2.292732793192528,2.292732793192528,32.44835781706846,32.44835781706846,74.39541405243799,74.39541405243799,32.44835781706847,7.439541405243799e-11,3.1558406602930575,1,True,1.0,0.0,0.0,1.0,rms,6.48074069840786,0.7666298545306247,0.8755740143075426,0.050586082194722715,0.26135398881517447,0.9408442702869078,0.8462818224624087,0.4725274725274725,0.034153243693315675,0.0,,0.36035344277875164,0.4991150673819894
main_corrected_inverse_map_2026-08-31_v2,impute,svm,2,HuberAIME,690,42,67,0.021209250087849796,0.8840579710144928,0.3697652672762235,X ~= Y A^T,SVD normal-system solve,2.292161608234812,2.292161608234812,31.778039185289895,31.778039185289895,72.84040140550296,72.84040140550296,31.778039185289902,7.284040140550294e-11,3.182513854749714,7,True,0.9759694666679225,0.125,0.0,1.0,rms,6.48074069840786,0.766187646193547,0.8753214530636999,0.05113372425080753,0.2623757670539412,0.9422325945765604,0.8419366319898846,0.557042957042957,0.03444114679067189,0.0,,0.36024523418991766,0.5027703029865733
main_corrected_inverse_map_2026-08-31_v2,impute,svm,2,RidgeAIME,690,42,67,0.021209250087849796,0.8840579710144928,0.3697652672762235,X ~= Y A^T,SVD normal-system solve,2.292732793192528,2.292334518948194,32.44835781706846,32.45835781706846,74.39541405243799,74.40541405243799,32.45835781706846,7.440541405243798e-11,3.1549019228713466,1,True,1.0,0.0,0.01,1.0,rms,6.48074069840786,0.7666310884713625,0.8755747189539923,0.05058455405111695,0.261351607817712,0.9408401640774278,0.8462818224624087,0.4725274725274725,0.03415429615785557,0.0,,0.36027799424320867,0.4989858627821061
main_corrected_inverse_map_2026-08-31_v2,impute,svm,2,HuberRidgeAIME,690,42,67,0.021209250087849796,0.8840579710144928,0.3697652672762235,X ~= Y A^T,SVD normal-system solve,2.292159794999136,2.2917533029581474,31.7780712216419,31.788071221641896,72.84041721686664,72.85041721686665,31.788071221641896,7.285041721686665e-11,3.1815428268129073,7,True,0.9759698634185597,0.125,0.01,1.0,rms,6.48074069840786,0.7661888060127917,0.8753221155739136,0.05113228790114466,0.26237333839703947,0.9422282387057255,0.8419366319898846,0.557042957042957,0.03444209207211259,0.0,,0.36016786594356415,0.5026377736584725
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,2,AIME,690,42,67,0.037918708054348826,0.821256038647343,0.40237910465157584,X ~= Y A^T,SVD normal-system solve,2.067427880605734,2.067427880605734,34.96730590416083,34.96730590416083,72.2923831359316,72.2923831359316,34.96730590416083,7.229238313593161e-11,3.626297075348861,1,True,1.0,0.0,0.0,1.0,rms,6.48074069840786,0.6495580164497529,0.8059516216558863,0.07149761977012503,0.30211814513232704,0.9073509081461666,0.7508612020277431,0.5421245421245421,0.032799331458482815,0.0,,0.31543036871974384,0.5594633797098012
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,2,HuberAIME,690,42,67,0.037918708054348826,0.821256038647343,0.40237910465157584,X ~= Y A^T,SVD normal-system solve,2.1336080244350897,2.1336080244350897,32.476178073856566,32.476178073856566,69.29143414136328,69.29143414136328,32.476178073856566,6.929143414136328e-11,3.424526122803385,7,True,0.9553766796203299,0.18055555555555555,0.0,1.0,rms,6.48074069840786,0.641433007886681,0.8008951291440602,0.0831118091098757,0.31893468178122075,0.9355344423171263,0.8410447850208425,0.6153846153846153,0.03314946343244544,0.0,,0.32911463605327,0.5346004834225675
