pipeline_version,protocol,learner,method,n_after_protocol__mean,n_after_protocol__std,n_after_protocol__median,n_after_protocol__count,d_after_encoding__mean,d_after_encoding__std,d_after_encoding__median,d_after_encoding__count,model_test_accuracy__mean,model_test_accuracy__std,model_test_accuracy__median,model_test_accuracy__count,clean_target_reconstruction_r2__mean,clean_target_reconstruction_r2__std,clean_target_reconstruction_r2__median,clean_target_reconstruction_r2__count,clean_target_reconstruction_cosine__mean,clean_target_reconstruction_cosine__std,clean_target_reconstruction_cosine__median,clean_target_reconstruction_cosine__count,bootstrap_cosine_flat__mean,bootstrap_cosine_flat__std,bootstrap_cosine_flat__median,bootstrap_cosine_flat__count,irrelevant_decoy_mass_ratio__mean,irrelevant_decoy_mass_ratio__std,irrelevant_decoy_mass_ratio__median,irrelevant_decoy_mass_ratio__count,log10_cond_reg__mean,log10_cond_reg__std,log10_cond_reg__median,log10_cond_reg__count,log10_coef_norm__mean,log10_coef_norm__std,log10_coef_norm__median,log10_coef_norm__count
main_corrected_inverse_map_2026-08-31_v2,complete_case,lgbm,AIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.870748299319728,0.025167769705695155,0.8826530612244898,3,0.010412875345336933,0.01842620506102564,0.016721338789360662,3,0.19451667070070378,0.03601447944595166,0.21422469453888854,3,0.913148587172172,0.012703899484858203,0.9184460220273545,3,0.034301401099811085,0.001975349205068655,0.03529552010229171,3,0.11058423499824187,0.011628441152903167,0.10421213994772177,3,0.38826707977060626,0.016282931389867812,0.3833346096151797,3
main_corrected_inverse_map_2026-08-31_v2,complete_case,lgbm,HuberAIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.870748299319728,0.025167769705695155,0.8826530612244898,3,0.0179137415570636,0.018090957406219483,0.02428246464339434,3,0.2033062778674306,0.03870260821066115,0.22514019439026647,3,0.9298223959114617,0.009062365877127661,0.929912837415079,3,0.03617284109878811,0.0010683340802650585,0.03601152706183165,3,0.11502206729000695,0.022705776712860705,0.10239347020935065,3,0.3694694676082307,0.0033324390265812944,0.37063738939626145,3
main_corrected_inverse_map_2026-08-31_v2,complete_case,lgbm,HuberRidgeAIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.870748299319728,0.025167769705695155,0.8826530612244898,3,0.017921606355431236,0.01808888015427263,0.02428931328287154,3,0.20330571158846641,0.03870222018163877,0.22513952813541513,3,0.9298211243498647,0.009062752069747994,0.9299118072388458,3,0.03617339130922634,0.0010685179507396172,0.03601158553462992,3,0.11500228518785388,0.022701126106769245,0.10237635851889101,3,0.3693868518908345,0.003329655092650271,0.3705580303766874,3
main_corrected_inverse_map_2026-08-31_v2,complete_case,lgbm,RidgeAIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.870748299319728,0.025167769705695155,0.8826530612244898,3,0.010422616227854823,0.01842368336751311,0.016729734520971595,3,0.19451591804018173,0.036014067659571075,0.21422374673041533,3,0.9131469529045125,0.012703807029752332,0.9184443168729339,3,0.03430184897902898,0.0019757005724345723,0.035296181347544475,3,0.1105663256821196,0.011626306945476013,0.10419538243919202,3,0.388189644998505,0.016281312194050317,0.3832589164641274,3
main_corrected_inverse_map_2026-08-31_v2,complete_case,mlp,AIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.814625850340136,0.016400766600328215,0.8214285714285714,3,0.046329266769747024,0.012324593176590215,0.04021027138889843,3,0.246279350216406,0.02713089452172578,0.23588974596100035,3,0.9490713639217967,0.004517079185686023,0.9500335316255984,3,0.02615873480925932,0.00822414655308654,0.028424956417587882,3,0.5515472128529834,0.4309677235543752,0.32476337144183304,3,0.6447432956537583,0.2175886532228738,0.5428673507251761,3
main_corrected_inverse_map_2026-08-31_v2,complete_case,mlp,HuberAIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.814625850340136,0.016400766600328215,0.8214285714285714,3,0.046909991380428985,0.014182249092716861,0.04008223235323172,3,0.24667111912702036,0.030198476256945998,0.2338030099785515,3,0.956833565073255,0.00778659337225345,0.9583292765899601,3,0.024177692860854458,0.010714761132541432,0.028299337397215543,3,0.5558890044331608,0.4371941291564081,0.3313975798795269,3,0.6384375400364747,0.22385435222649133,0.5292185354154582,3
main_corrected_inverse_map_2026-08-31_v2,complete_case,mlp,HuberRidgeAIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.814625850340136,0.016400766600328215,0.8214285714285714,3,0.04692528910557736,0.014203684200233777,0.0400869480035857,3,0.24665980550111608,0.030182124595815166,0.23380118158907617,3,0.9568295270490156,0.0077858640286551425,0.9583261106424636,3,0.02418096274805166,0.010710859851832713,0.02830031388540552,3,0.5556157636162581,0.4368348031632094,0.33132278772327045,3,0.6381022130787501,0.22349556384455477,0.5290791589235578,3
main_corrected_inverse_map_2026-08-31_v2,complete_case,mlp,RidgeAIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.814625850340136,0.016400766600328215,0.8214285714285714,3,0.046345106594431175,0.012345719865760635,0.04021532638025127,3,0.24626871498148983,0.027115163876250712,0.23588853851739713,3,0.9490662360002636,0.0045159529334649826,0.9500293867197904,3,0.026161416002839763,0.0082213105521836,0.02842572076109473,3,0.5512907607925038,0.4306324175141771,0.3246930883919785,3,0.6444278251221881,0.21725476342646802,0.5427349507501401,3
main_corrected_inverse_map_2026-08-31_v2,complete_case,svm,AIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.8384353741496599,0.02124148979047079,0.8316326530612245,3,0.03630942190964218,0.03208805383775524,0.0450980600329044,3,0.2276985343268313,0.05926072223832484,0.24250473436247114,3,0.9295438572149477,0.018507667950394793,0.9282851715811763,3,0.03853417437892842,0.0034028416010611694,0.03710349860805836,3,0.2677149333463351,0.015471196532826463,0.2668991292883209,3,0.4583042266986863,0.002684791441629087,0.45747992716979274,3
main_corrected_inverse_map_2026-08-31_v2,complete_case,svm,HuberAIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.8384353741496599,0.02124148979047079,0.8316326530612245,3,0.03923234593518762,0.0312935110671121,0.04956101152936143,3,0.2325238531666379,0.05819538271183611,0.25015085751713734,3,0.9411823592940567,0.01099938154712654,0.9395499018328989,3,0.03616258518231601,0.0026517372649631386,0.03524405132643497,3,0.25866463196647593,0.026660045272781624,0.2573605091088383,3,0.4537477004500981,0.005911282647500209,0.4516526173410781,3
