pipeline_version,subset,method_a,method_b,contrast_interpretation,metric,metric_role,preferred_direction,n_repeated_pairs,n_condition_clusters,method_a_mean,method_b_mean,a_minus_b_cluster_mean,CI95_low,CI95_high,median_cluster_difference,wilcoxon_p_on_cluster_means
main_corrected_inverse_map_2026-08-31_v2,all_conditions,HuberRidgeAIME,HuberAIME,ridge contribution beyond Huber,log10_cond_reg,conditioning diagnostic,lower is better,243,81,0.28824108661025327,0.2883167169432964,-7.56303330430545e-05,-0.0001016799248002602,-5.4483162855799436e-05,-4.7008825625740234e-05,5.362626265112966e-15
main_corrected_inverse_map_2026-08-31_v2,all_conditions,HuberRidgeAIME,HuberAIME,ridge contribution beyond Huber,log10_coef_norm,regularization diagnostic,diagnostic only,243,81,0.9943698876203159,0.9944971301607357,-0.0001272425404198851,-0.0001552765827805244,-0.0001033571904944955,-0.00010259029658817494,5.362626265112966e-15
main_corrected_inverse_map_2026-08-31_v2,all_conditions,RidgeAIME,AIME,ridge contribution,clean_target_reconstruction_r2,clean-target reconstruction,higher is better,243,81,0.26495934910969415,0.2649456076746935,1.3741435000687402e-05,9.159998603371164e-06,1.9746797607867496e-05,8.327102880974676e-06,1.3121130103183356e-12
main_corrected_inverse_map_2026-08-31_v2,all_conditions,RidgeAIME,AIME,ridge contribution,clean_target_reconstruction_cosine,clean-target reconstruction,higher is better,243,81,0.4827924276957767,0.4827956757958962,-3.248100119485396e-06,-4.787073110487369e-06,-2.01550608024131e-06,-1.0669241377788314e-06,4.1866200840342065e-08
main_corrected_inverse_map_2026-08-31_v2,all_conditions,RidgeAIME,AIME,ridge contribution,operator_cosine_flat,same-method clean-reference operator recovery,higher is better,243,81,0.9622413525629956,0.9622433523397979,-1.9997768021446845e-06,-2.927786422245793e-06,-1.2143959605024054e-06,-5.3326067154616887e-08,9.81724119783718e-07
main_corrected_inverse_map_2026-08-31_v2,all_conditions,RidgeAIME,AIME,ridge contribution,operator_topk_jaccard,same-method clean-reference operator recovery,higher is better,243,81,0.6715257170671305,0.6711827815390098,0.0003429355281207132,0.0,0.0010288065843621398,0.0,0.31731050786291415
main_corrected_inverse_map_2026-08-31_v2,all_conditions,RidgeAIME,AIME,ridge contribution,bootstrap_cosine_flat,stability/self-consistency,higher is better,243,81,0.9483957946207664,0.9483982507937235,-2.4561729571682664e-06,-3.317325248924667e-06,-1.7068503114885084e-06,-9.976174293324647e-07,1.1378162476017253e-08
main_corrected_inverse_map_2026-08-31_v2,all_conditions,RidgeAIME,AIME,ridge contribution,irrelevant_decoy_mass_ratio,true irrelevant-decoy attribution,lower is better,243,81,0.018133994832032485,0.018133497077882352,4.977541501361716e-07,3.469429226216366e-07,6.791436059824031e-07,2.3386116874390037e-07,6.620089764233715e-10
main_corrected_inverse_map_2026-08-31_v2,all_conditions,RidgeAIME,AIME,ridge contribution,clone_mass_ratio,correlated-clone redistribution,descriptive,243,81,0.15411862500129136,0.15411881913265174,-1.9413136037890731e-07,-3.6931637756851715e-07,-4.317958896243354e-08,0.0,0.019404156260965488
main_corrected_inverse_map_2026-08-31_v2,all_conditions,RidgeAIME,AIME,ridge contribution,log10_cond_reg,conditioning diagnostic,lower is better,243,81,0.27640492661233906,0.2764710098444917,-6.608323215260486e-05,-8.534664378904582e-05,-4.999057058010275e-05,-4.393696948305307e-05,5.362626265112966e-15
