pipeline_version,n,d,C,repeat,method,runtime_sec,n_times_d,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,ridge_lambda,huber_delta,residual_mode,effective_delta_on_l2_norm,error
main_corrected_inverse_map_2026-08-31_v2,500,20,3,0,AIME,0.0004492918960750103,10000,X ~= Y A^T,SVD normal-system solve,4.961438142217776,4.961438142217776,33.596213132821745,33.596213132821745,166.68553327125954,166.68553327125954,33.59621313282176,1.6668553327125943e-10,3.957315542059525,1,True,1.0,0.0,0.0,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,500,20,3,0,HuberAIME,0.0008885839488357306,10000,X ~= Y A^T,SVD normal-system solve,4.939184729900195,4.939184729900195,32.77716801560574,32.77716801560574,161.89248775205294,161.89248775205294,32.777168015605746,1.618924877520529e-10,3.9704947990703463,6,True,0.9712681529612754,0.048,0.0,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,500,20,3,0,RidgeAIME,0.00018150010146200657,10000,X ~= Y A^T,SVD normal-system solve,4.961438142217776,4.960259360744665,33.596213132821745,33.60621313282176,166.68553327125954,166.69553327125942,33.606213132821736,1.6669553327125949e-10,3.956748359181259,1,True,1.0,0.0,0.01,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,500,20,3,0,HuberRidgeAIME,0.0005444999551400542,10000,X ~= Y A^T,SVD normal-system solve,4.939184650331471,4.937983209344576,32.777167187565155,32.78716718756515,161.89248105417016,161.90248105417015,32.78716718756515,1.619024810541702e-10,3.969930600529562,6,True,0.971268112837379,0.048,0.01,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,500,20,3,1,AIME,0.00016729207709431648,10000,X ~= Y A^T,SVD normal-system solve,4.910424260880681,4.910424260880681,33.94654145011196,33.94654145011196,166.69192070962143,166.69192070962143,33.946541450112,1.666919207096215e-10,4.942532096270866,1,True,1.0,0.0,0.0,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,500,20,3,1,HuberAIME,0.0004645830485969782,10000,X ~= Y A^T,SVD normal-system solve,4.901151158060441,4.901151158060441,32.88702427283548,32.88702427283548,161.18427709996945,161.18427709996945,32.8870242728355,1.6118427709996942e-10,4.710453236229695,5,True,0.9669922753560518,0.05,0.0,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,500,20,3,1,RidgeAIME,0.00016087503172457218,10000,X ~= Y A^T,SVD normal-system solve,4.910424260880681,4.909272664135581,33.94654145011196,33.95654145011196,166.69192070962143,166.70192070962145,33.95654145011199,1.6670192070962145e-10,4.941680448277694,1,True,1.0,0.0,0.01,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,500,20,3,1,HuberRidgeAIME,0.00046541704796254635,10000,X ~= Y A^T,SVD normal-system solve,4.9011508355973925,4.899964968207979,32.88702432519563,32.89702432519562,161.18426675174436,161.1942667517443,32.89702432519563,1.6119426675174439e-10,4.709605262760465,5,True,0.9669922132557013,0.05,0.01,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,500,20,3,2,AIME,0.00017487502191215754,10000,X ~= Y A^T,SVD normal-system solve,5.005475331553824,5.005475331553824,33.298965542024504,33.298965542024504,166.67715058686446,166.67715058686446,33.29896554202448,1.666771505868644e-10,4.712477886233246,1,True,1.0,0.0,0.0,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,500,20,3,2,HuberAIME,0.00047866604290902615,10000,X ~= Y A^T,SVD normal-system solve,4.980581827560598,4.980581827560598,32.54151344706808,32.54151344706808,162.0756705157861,162.0756705157861,32.541513447068084,1.6207567051578614e-10,4.668025169100676,5,True,0.972390509897813,0.048,0.0,1.0,rms,4.47213595499958,
