pipeline_version,experiment_mode,subset,metric,role,direction,n_repeated_pairs,n_condition_clusters,HRA_mean,RidgeAIME_mean,HRA_minus_Ridge_cluster_mean,CI95_low,CI95_high,median_cluster_difference,wilcoxon_p_on_cluster_means
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,clean_target_reconstruction_r2,clean-target inverse reconstruction,higher is better,81,27,0.2763757062306979,0.2570505291948516,0.019325177035846366,0.01471426265759619,0.02427818458057855,0.01485266459418418,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,clean_target_reconstruction_cosine,clean-target inverse reconstruction,higher is better,81,27,0.4919409299484866,0.474706548740497,0.017234381207989532,0.012805047522474591,0.022040398824211094,0.01308781780006337,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,operator_cosine_flat,clean-reference operator recovery,higher is better,81,27,0.9894110389815673,0.9536291608223344,0.03578187815923274,0.023112194923030367,0.050193576413619566,0.024721411272950872,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,operator_spearman_global,clean-reference operator recovery,higher is better,81,27,0.9585280174947823,0.9018730844174876,0.05665493307729477,0.03827210985486523,0.07670438037175135,0.03604004449388213,6.407499313354492e-07
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,operator_topk_jaccard,clean-reference operator recovery,higher is better,81,27,0.7225632029553598,0.5190171057904116,0.2035460971649482,0.14441344219680993,0.26004166982265825,0.240981240981241,2.8971218535110975e-05
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,bootstrap_cosine_flat,self-consistency/stability,higher is better,81,27,0.9717715860504744,0.9446823248798882,0.027089261170586024,0.020096189858288135,0.03443401883079167,0.0222724916247324,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,irrelevant_decoy_mass_ratio,irrelevant-decoy attribution,lower is better,81,27,0.015043494989337118,0.01918814126623946,-0.004144646276902344,-0.006041892935792602,-0.0025012690941656024,-0.0034536503409190174,6.407499313354492e-07
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,irrelevant_decoy_topk_infiltration,irrelevant-decoy attribution,lower is better,81,27,0.0024691358024691358,0.023045267489711935,-0.0205761316872428,-0.034567901234567905,-0.00823045267489712,0.0,0.011513828076845417
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,clone_mass_ratio,correlated-clone attribution redistribution,descriptive,81,27,0.15041259882301067,0.15166668115295034,-0.0012540823299396736,-0.003600813051186961,0.0008130262777354963,0.0,0.44598168917699166
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,clone_topk_infiltration,correlated-clone attribution redistribution,descriptive,81,27,0.0851793062904174,0.08226337448559672,0.002915931804820692,-0.005464506172839508,0.011763815402704289,0.0,0.6598746551418473
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,log10_cond_reg,conditioning diagnostic,lower is better,81,27,0.3164001399037834,0.30302467126498317,0.013375468638800169,0.006704634658908875,0.020069269079067465,0.011905791839610666,0.0004787445068359375
