pipeline_version,experiment_mode,dataset,learner,repeat,method,outlier_rate,clone_frac,n_outlier_rows,n_clones,d_original,d_total,model_fit_time_sec,model_test_accuracy,model_test_log_loss,n_explanation_fit,n_explanation_val,explain_time_sec,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,ridge_lambda,huber_delta,residual_mode,effective_delta_on_l2_norm,clean_target_reconstruction_mse,clean_target_reconstruction_rmse,clean_target_reconstruction_r2,clean_target_reconstruction_cosine,observed_target_reconstruction_mse,observed_target_reconstruction_rmse,observed_target_reconstruction_r2,observed_target_reconstruction_cosine,operator_cosine_flat,operator_spearman_global,operator_topk_jaccard,clone_mass_ratio,clone_topk_infiltration,irrelevant_decoy_mass_ratio,irrelevant_decoy_topk_infiltration,outlier_weight_ap,mean_weight_outlier_rows,mean_weight_nonoutlier_rows,bootstrap_cosine_flat,bootstrap_spearman_global,bootstrap_topk_jaccard,error,log10_cond_reg,log10_coef_norm
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,breast_cancer,lgbm,0,RidgeAIME,0.05,0.0,28,0,30,30,1.1202997079817578,0.9649122807017544,0.08293158639134421,119,52,0.00014433299656957388,X ~= Y A^T,SVD normal-system solve,1.975255419462614,1.9750018042683493,38.444140032520934,38.45414003252094,75.9369959458166,75.94699594581661,38.45414003252094,7.59469959458166e-11,4.776561781122865,1,True,1.0,0.0,0.01,1.0,rms,5.477225575051661,0.5209633859869913,0.7217779339845403,0.23169383676954247,0.5155172028836466,1.1996833287758046,1.095300565495976,0.13275266438072542,0.3892123079792379,0.9687638334639095,0.9074527252502781,0.8181818181818182,0.0,0.0,0.0332444344450389,0.0,0.04201680672268908,1.0,1.0,0.9496979341565641,0.8479644048943271,0.5948717948717949,,0.29556749671358284,0.67911539938047
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,breast_cancer,lgbm,0,HuberRidgeAIME,0.05,0.0,28,0,30,30,1.1202997079817578,0.9649122807017544,0.08293158639134421,119,52,0.0005966250319033861,X ~= Y A^T,SVD normal-system solve,2.123233460636557,2.122903919445082,34.07476662987196,34.08476662987196,72.34868467192611,72.35868467192611,34.08476662987195,7.235868467192613e-11,4.532105679661003,9,True,0.9311228195238435,0.17647058823529413,0.01,1.0,rms,5.477225575051661,0.4975455507286389,0.7053690882996212,0.2662299820005951,0.5350651797694478,1.178287638062855,1.0854895845022443,0.14821954244718483,0.4026677960335722,0.9942524042339537,0.9839822024471635,0.8181818181818182,0.0,0.0,0.02698987854737661,0.0,0.9666666666666666,0.21264070562507528,0.9626351929404563,0.9786275498516257,0.9418909899888765,0.793939393939394,,0.32693033886733075,0.6563000281901495
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,breast_cancer,svm,0,RidgeAIME,0.05,0.0,28,0,30,30,0.006353916949592531,0.9532163742690059,0.13387813509707822,119,52,0.00013529101852327585,X ~= Y A^T,SVD normal-system solve,1.9913974170092603,1.9911124954279158,34.78544835927259,34.7954483592726,69.27165201216445,69.28165201216444,34.7954483592726,6.928165201216446e-11,4.6089974391226916,1,True,1.0,0.0,0.01,1.0,rms,5.477225575051661,0.6479072905033995,0.8049268851910709,0.2561306381688816,0.512118489840726,0.6479072905033995,0.8049268851910709,0.2561306381688816,0.512118489840726,0.9718524949722973,0.9724137931034482,0.8181818181818182,0.0,0.0,0.048312025171202214,0.0,0.1092436974789916,1.0,1.0,0.9569838658409002,0.8971301446051168,0.7876123876123877,,0.29909579782921814,0.6636064668194231
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,breast_cancer,svm,0,HuberRidgeAIME,0.05,0.0,28,0,30,30,0.006353916949592531,0.9532163742690059,0.13387813509707822,119,52,0.0005411249585449696,X ~= Y A^T,SVD normal-system solve,1.8974377736660824,1.897168934041747,33.37190104537589,33.38190104537588,63.32110562254284,63.33110562254284,33.38190104537588,6.333110562254285e-11,4.325469058928559,8,True,0.8975706537615353,0.226890756302521,0.01,1.0,rms,5.477225575051661,0.6221841827332207,0.7887865254511012,0.28566361617635083,0.54098724989586,0.6221841827332207,0.7887865254511012,0.28566361617635083,0.54098724989586,0.9959833662294023,0.9897664071190211,1.0,0.0,0.0,0.031344805383939786,0.0,0.8944721944721943,0.3427351650369715,0.9656165155862461,0.9813848026159674,0.9584427141268075,0.8939393939393939,,0.2781060045078188,0.6360332097566023
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,breast_cancer,mlp,0,RidgeAIME,0.05,0.0,28,0,30,30,0.018792124930769205,0.8888888888888888,0.4724726693642598,119,52,0.00012770795729011297,X ~= Y A^T,SVD normal-system solve,6.87891697039719,6.872163026814626,8.694421200044536,8.704421200044537,59.80820154076746,59.81820154076746,8.70442120004454,5.981820154076746e-11,11.59723358131023,1,True,1.0,0.0,0.01,1.0,rms,5.477225575051661,0.8110694954559793,0.9005939681432357,0.28582336880178705,0.540430395606647,1.3877918154720548,1.1780457611960813,0.20441073982467328,0.46324893349792395,0.9260565450698938,0.8398220244716351,0.6666666666666666,0.0,0.0,0.02738291948865934,0.0,0.08403361344537816,1.0,1.0,0.9362768283971719,0.804582869855395,0.6638694638694639,,0.8370934536180319,1.0643544044289222
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,breast_cancer,mlp,0,HuberRidgeAIME,0.05,0.0,28,0,30,30,0.018792124930769205,0.8888888888888888,0.4724726693642598,119,52,0.0005789999850094318,X ~= Y A^T,SVD normal-system solve,7.99257026559795,7.982515577336944,6.944537111526725,6.954537111526726,55.50470082592997,55.514700825929964,6.954537111526728,5.551470082592997e-11,12.461856976660096,9,True,0.924549886365893,0.17647058823529413,0.01,1.0,rms,5.477225575051661,0.7463509262172666,0.8639160411852917,0.34281045808799815,0.591255490580933,1.3347678724714427,1.155321545056372,0.23480815182345094,0.49487587536281197,0.9954781489015099,0.9799777530589545,1.0,0.0,0.0,0.016698965140661104,0.0,0.9107512370670264,0.3751062151168858,0.9749575626272697,0.9870148005822216,0.939933259176863,0.7682983682983683,,0.9021397747084918,1.0955827625981087
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,breast_cancer,lgbm,0,RidgeAIME,0.05,0.25,28,8,30,38,1.0885013330262154,0.9707602339181286,0.14237911473991993,119,52,0.0001953750615939498,X ~= Y A^T,SVD normal-system solve,1.4763379538243238,1.4762386016810753,47.93440645656457,47.944406456564565,70.76738354586799,70.77738354586799,47.944406456564565,7.077738354586798e-11,5.62270052904066,1,True,1.0,0.0,0.01,1.0,rms,6.164414002968976,0.9955994949679715,0.9977973215878921,0.1905722307236305,0.4498831950979672,1.2612916740570952,1.1230724260069318,0.14742955431178606,0.4013317881710154,0.9770943561448695,0.9809607178028231,0.8181818181818182,0.1705807636397547,0.125,0.014926113223150383,0.0,0.03361344537815126,1.0,1.0,0.9677484402016752,0.931655542181858,0.7727272727272727,,0.16915655736424845,0.7499449531432996
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,breast_cancer,lgbm,0,HuberRidgeAIME,0.05,0.25,28,8,30,38,1.0885013330262154,0.9707602339181286,0.14237911473991993,119,52,0.0006218339549377561,X ~= Y A^T,SVD normal-system solve,1.6271144532273596,1.626966965836359,42.50986891731739,42.5198689173174,69.16842212016762,69.17842212016761,42.519868917317396,6.917842212016761e-11,5.157996768623669,9,True,0.9409546495928379,0.16806722689075632,0.01,1.0,rms,6.164414002968976,0.9884235360971083,0.9941949185633109,0.1964063240619851,0.4526706162719635,1.2540253560504155,1.119832735746913,0.15234122391913385,0.403279867753037,0.9933378109569149,0.9899332530911478,0.6666666666666666,0.18386191918682282,0.125,0.014419598414811849,0.0,0.9166666666666666,0.24387212533281963,0.9652009982627515,0.9835559654119036,0.956406609038188,0.7606060606060606,,0.21137873505079252,0.7124810657256587
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,breast_cancer,svm,0,RidgeAIME,0.05,0.25,28,8,30,38,0.00586241704877466,0.935672514619883,0.16664476479092424,119,52,0.0001361669274047017,X ~= Y A^T,SVD normal-system solve,2.24589015915134,2.245523236311052,33.9450996109478,33.9550996109478,76.23696516763964,76.24696516763964,33.95509961094779,7.624696516763965e-11,6.041067218423233,1,True,1.0,0.0,0.01,1.0,rms,6.164414002968976,0.5418231791301324,0.7360863937950032,0.31050995319447394,0.5778319815069883,1.7352347056665822,1.3172830772717694,0.09379778807266903,0.34319039566662174,0.9402962357332763,0.7358573148046833,0.5384615384615384,0.18932482398367817,0.0,0.033678293012057034,0.0,0.07563025210084033,1.0,1.0,0.9399838110715516,0.7692088849983587,0.49010989010989003,,0.3513175534310014,0.7811136681128268
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,breast_cancer,svm,0,HuberRidgeAIME,0.05,0.25,28,8,30,38,0.00586241704877466,0.935672514619883,0.16664476479092424,119,52,0.0005807919660583138,X ~= Y A^T,SVD normal-system solve,2.4502282455785784,2.4497411123549306,29.760670017504484,29.770670017504486,72.92043428423301,72.93043428423302,29.770670017504496,7.2930434284233e-11,5.299841583004334,8,True,0.8992933897999782,0.226890756302521,0.01,1.0,rms,6.164414002968976,0.5091009498001114,0.7135131041544447,0.3521502009752331,0.6078770978697576,1.686159367804888,1.2985219935776553,0.11942670131196742,0.37207923016279015,0.9908251001098459,0.9551373235583762,0.6666666666666666,0.20142876781226776,0.125,0.02061999084829776,0.0,0.9888888888888892,0.2039246723535276,0.9561871939546878,0.9787880441451453,0.9297953824269614,0.6603396603396604,,0.3891201907251695,0.7242628883450744
