pipeline_version,method,ridge_lambda,huber_delta,log10_cond_reg__mean,log10_cond_reg__std,log10_cond_reg__count,log10_coef_norm__mean,log10_coef_norm__std,log10_coef_norm__count,clean_target_reconstruction_r2__mean,clean_target_reconstruction_r2__std,clean_target_reconstruction_r2__count,clean_target_reconstruction_cosine__mean,clean_target_reconstruction_cosine__std,clean_target_reconstruction_cosine__count,operator_cosine_flat__mean,operator_cosine_flat__std,operator_cosine_flat__count,clone_mass_ratio__mean,clone_mass_ratio__std,clone_mass_ratio__count,clone_topk_infiltration__mean,clone_topk_infiltration__std,clone_topk_infiltration__count,irrelevant_decoy_mass_ratio__mean,irrelevant_decoy_mass_ratio__std,irrelevant_decoy_mass_ratio__count,irrelevant_decoy_topk_infiltration__mean,irrelevant_decoy_topk_infiltration__std,irrelevant_decoy_topk_infiltration__count,outlier_weight_ap__mean,outlier_weight_ap__std,outlier_weight_ap__count,bootstrap_cosine_flat__mean,bootstrap_cosine_flat__std,bootstrap_cosine_flat__count,frac_downweighted__mean,frac_downweighted__std,frac_downweighted__count
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.0,0.5,0.3436004182290481,0.13438051167969148,27,1.0233582609207301,0.4680133963055663,27,0.28309539636091036,0.20028813929913952,27,0.4942137648012718,0.22129233788336553,27,0.9815010064443599,0.019470165966702167,27,0.27018083337555565,0.09630361630711283,27,0.10343915343915343,0.09043746359663102,27,0.013836705815612986,0.011854309764582217,27,0.007407407407407408,0.02824395152454411,27,0.9700083147594388,0.03446848103722681,27,0.9705387480755049,0.032158491875624196,27,0.8011360099595394,0.12214885278260612,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.0,1.0,0.2754901460382074,0.15182683770937078,27,1.028919388133219,0.4693511063442606,27,0.2849858118816973,0.20027254426603466,27,0.4961847053516053,0.22073111135202642,27,0.9892126036010326,0.011905191157165014,27,0.27152486485709854,0.09675844229282038,27,0.1165079365079365,0.09798510834930131,27,0.014861508432973285,0.012860346784897255,27,0.0049382716049382715,0.025660011963983365,27,0.9707142738238846,0.034344254020154674,27,0.9695886788841146,0.03246163505945235,27,0.20560958951481825,0.04288248317855056,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.0,2.0,0.26644495291084025,0.15603287441734573,27,1.0415588610223638,0.4658819823986595,27,0.28144625992638267,0.20145500433990987,27,0.49232385410755,0.22308497007515385,27,0.9826309043064634,0.019049543429117886,27,0.2711443392249188,0.09541649960549044,27,0.11051146384479717,0.09989318610116649,27,0.017114426598428347,0.014732299306576551,27,0.019753086419753086,0.04826853238643276,27,0.932237865350457,0.0781738304594867,27,0.9608185538420554,0.03866526903769239,27,0.1038299270325414,0.014012710114786452,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,1e-06,0.5,0.34360040716120205,0.1343805035355643,27,1.0233582432628323,0.46801340164139155,27,0.28309539601606926,0.20028813863111625,27,0.49421376418296353,0.2212923380033306,27,0.9815010058551137,0.019470166173062152,27,0.2701808333211297,0.09630361619370917,27,0.10343915343915343,0.09043746359663102,27,0.013836705901252003,0.011854309827424398,27,0.007407407407407408,0.02824395152454411,27,0.9700083147594388,0.03446848103722681,27,0.97053874797359,0.03215849194176354,27,0.8011360099595394,0.12214885278260612,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,1e-06,1.0,0.2754901396977518,0.15182683089994733,27,1.0289193762304323,0.4693511096597276,27,0.28498581190833233,0.20027254398068384,27,0.4961847051497337,0.22073111145248211,27,0.9892126034812976,0.011905191258582274,27,0.27152486484492017,0.09675844225184813,27,0.1165079365079365,0.09798510834930131,27,0.014861508493780515,0.012860346823837542,27,0.0049382716049382715,0.025660011963983365,27,0.9707142738238846,0.034344254020154674,27,0.9695886787078374,0.03246163521112481,27,0.20560958951481825,0.04288248317855056,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,1e-06,2.0,0.2664449468422052,0.1560328678231151,27,1.0415588500187645,0.46588198543155096,27,0.28144626035850534,0.20145500412598075,27,0.4923238539287454,0.22308497023143614,27,0.9826309041905075,0.019049543550399894,27,0.2711443392227497,0.09541649958077868,27,0.11051146384479717,0.09989318610116649,27,0.01711442665375333,0.014732299349805099,27,0.019753086419753086,0.04826853238643276,27,0.932237865350457,0.0781738304594867,27,0.9608185536275895,0.038665269212122294,27,0.1038299270325414,0.014012710114786452,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,1e-05,0.5,0.3436003075506452,0.1343804302384869,27,1.0233580843418064,0.4680134496638126,27,0.28309539291244834,0.20028813261889514,27,0.4942137586181881,0.2212923390830161,27,0.981501000551897,0.019470168030301396,27,0.27018083283129707,0.09630361517307652,27,0.10343915343915343,0.09043746359663102,27,0.013836706672003032,0.011854310393003895,27,0.007407407407407408,0.02824395152454411,27,0.9700083147594388,0.03446848103722681,27,0.9705387470563558,0.03215849253701814,27,0.8011360099595394,0.12214885278260612,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,1e-05,1.0,0.2754900826336686,0.15182676961516442,27,1.028919269105374,0.4693511394989302,27,0.2849858121480212,0.20027254141251882,27,0.49618470333288794,0.2207311123565827,27,0.9892126024036831,0.011905192171337379,27,0.27152486473531456,0.09675844188309814,27,0.1165079365079365,0.09798510834930131,27,0.01486150904104547,0.01286034717430009,27,0.0049382716049382715,0.025660011963983365,27,0.9707142738238846,0.034344254020154674,27,0.9695886771213428,0.03246163657617626,27,0.20560958951481825,0.04288248317855056,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,1e-05,2.0,0.2664448922245061,0.15603280847506704,27,1.0415587509863882,0.46588201272757207,27,0.28144626424758507,0.20145500220061185,27,0.49232385231950343,0.22308497163797644,27,0.9826309031469036,0.019049544641937734,27,0.27114433920322817,0.09541649935837308,27,0.11051146384479717,0.09989318610116649,27,0.01711442715167813,0.01473229973886194,27,0.019753086419753086,0.04826853238643276,27,0.932237865350457,0.0781738304594867,27,0.9608185516973969,0.03866527078199162,27,0.1038299270325414,0.014012710114786452,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.0001,0.5,0.3435993114507302,0.13437969727442511,27,1.0233564951368939,0.4680139298875146,27,0.2830953618711851,0.2002880724955173,27,0.49421370297037553,0.22129234987981586,27,0.9815009475197125,0.01947018660265332,27,0.2701808279330705,0.09630360496681808,27,0.10343915343915343,0.09043746359663102,27,0.013836714379501016,0.011854316048785812,27,0.007407407407407408,0.02824395152454411,27,0.9700083147594388,0.03446848103722681,27,0.9705387378838892,0.03215849848959156,27,0.8011360099595394,0.12214885278260612,27
