pipeline_version,dataset,learner,repeat,condition,method,outlier_rate,clone_frac,n_outlier_rows,n_clones,d_original,d_total,model_fit_time_sec,model_test_accuracy,explain_time_sec,added_clone_mass,bootstrap_cosine,bootstrap_spearman,bootstrap_topk,noise_cosine,noise_spearman,noise_topk,implementation,error
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,clean,AIME,0.0,0.0,0,0,30,30,1.1199788749217987,0.9473684210526315,0.0003249999135732651,0.0,0.9802098735764215,0.9512791991101224,0.8030303030303031,0.9999906659757508,0.9974786800148313,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,clean,HuberAIME,0.0,0.0,0,0,30,30,1.1199788749217987,0.9473684210526315,0.0007027080282568932,0.0,0.9843095049631142,0.9612013348164627,0.890909090909091,0.9999888816804651,0.9992584352984798,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,clean,RidgeAIME,0.0,0.0,0,0,30,30,1.1199788749217987,0.9473684210526315,0.0002117078984156251,0.0,0.9802099775706866,0.9512791991101224,0.8030303030303031,0.9999906659816821,0.9974786800148313,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,clean,HuberRidgeAIME,0.0,0.0,0,0,30,30,1.1199788749217987,0.9473684210526315,0.0006640000501647592,0.0,0.9843097601633737,0.9612013348164627,0.890909090909091,0.9999888818381825,0.9992584352984798,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,clean,LIME,0.0,0.0,0,0,30,30,1.1199788749217987,0.9473684210526315,0.0482545830309391,0.0,0.9989759091665557,0.945139043381535,0.9272727272727274,0.9967942911628943,0.7578049684835002,0.8282828282828283,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,clean,SHAP_TreeSHAP,0.0,0.0,0,0,30,30,1.1199788749217987,0.9473684210526315,0.0020366250537335873,0.0,0.9974740739822296,0.9845606229143492,0.9818181818181818,0.9998787829679392,0.9903596588802372,1.0,LightGBM native TreeSHAP pred_contrib=True,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,joint_high_stress,AIME,0.1,0.5,57,15,30,45,1.186629542033188,0.9590643274853801,0.00026341702323406935,0.36490640783271117,0.9562670666506813,0.867931488801054,0.6531468531468532,0.9999320697948515,0.999385155906895,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,joint_high_stress,HuberAIME,0.1,0.5,57,15,30,45,1.186629542033188,0.9590643274853801,0.0007292910013347864,0.36077904495147256,0.9878637714199877,0.9363899868247694,0.6421578421578422,0.9999048200845664,0.997935880544576,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,joint_high_stress,RidgeAIME,0.1,0.5,57,15,30,45,1.186629542033188,0.9590643274853801,0.00017562496941536665,0.36490621555688113,0.9562673236985578,0.867931488801054,0.6531468531468532,0.999932072563006,0.999385155906895,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,joint_high_stress,HuberRidgeAIME,0.1,0.5,57,15,30,45,1.186629542033188,0.9590643274853801,0.0008035829523578286,0.3607792399161324,0.9878637721522843,0.9363899868247694,0.6421578421578422,0.9999048242014652,0.997935880544576,0.9393939393939394,equation-consistent inverse map,
