pipeline_version,experiment_mode,outlier_rate,clone_frac,frac_downweighted__mean,frac_downweighted__std,frac_downweighted__count,outlier_weight_ap__mean,outlier_weight_ap__std,outlier_weight_ap__count,mean_weight_outlier_rows__mean,mean_weight_outlier_rows__std,mean_weight_outlier_rows__count,mean_weight_nonoutlier_rows__mean,mean_weight_nonoutlier_rows__std,mean_weight_nonoutlier_rows__count
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,0.05,0.0,0.16355474288480826,0.04419561355258672,27,0.941691040628963,0.09080780674835601,27,0.23485855845546397,0.0501505600114469,27,0.97128412451036,0.012263742303243123,27
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,0.05,0.25,0.16378687277380088,0.041628411410892754,27,0.9642785581981691,0.0676595397911448,27,0.22111891189481436,0.043062428420637025,27,0.9715687963175367,0.012552116786159268,27
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,0.05,0.5,0.16381669951931388,0.04308577477684416,27,0.9486460232864813,0.07737782244719736,27,0.23496125543915422,0.054979637522260795,27,0.9696964517360125,0.012836778916989828,27
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,0.1,0.0,0.21127191617387697,0.045631588836556616,27,0.9576039051109686,0.05410774617371777,27,0.2469334443224179,0.06874819223930981,27,0.9694176268019975,0.014269788871833887,27
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,0.1,0.25,0.21196138949406926,0.04724629786112764,27,0.9736319421532597,0.03967901132588196,27,0.23776434366323013,0.05379179772993433,27,0.9702706017586243,0.011783405066115261,27
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,0.1,0.5,0.19514299546979286,0.038286361665857756,27,0.9464111463958257,0.05780472159285809,27,0.24872016653092946,0.06011117530538861,27,0.9697177056694345,0.014827262589529403,27
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,0.05,0.0,0.15889174188193794,0.037954249740847705,45,0.9406739235037063,0.08418029745350539,45,0.25299130826158517,0.07997922055668166,45,0.9694992463850489,0.012654339909473997,45
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,0.05,0.25,0.16355534806515198,0.04648228346597932,45,0.9370097312688349,0.0924618599988868,45,0.2505133567858968,0.06711904775438186,45,0.9698622053621231,0.0134730585789026,45
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,0.05,0.5,0.1642436974789916,0.04487731978146863,45,0.9482370678263535,0.08886870265021243,45,0.24518030171315303,0.06726698971184493,45,0.9720016858913252,0.011691421425474205,45
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,0.1,0.0,0.19576330532212885,0.03377629393648007,45,0.9694064840779957,0.041156849074206345,45,0.2403690803902541,0.05180806515919867,45,0.9712400416594337,0.011553503455494153,45
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,0.1,0.25,0.21075059653491024,0.048472219846407975,45,0.9636617679100359,0.05291964800555947,45,0.24318454758340943,0.050645677520627236,45,0.9708487229615006,0.01163271308842497,45
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,0.1,0.5,0.20617958294428884,0.04828418783535567,45,0.9606063526673302,0.04588611455406768,45,0.25023847181831116,0.05901793082328864,45,0.969912329785479,0.01290026532176914,45
