pipeline_version,method,outlier_rate,coef_fro_norm__mean,coef_fro_norm__std,coef_fro_norm__count,support_average_precision__mean,support_average_precision__std,support_average_precision__count,f1_at_k__mean,f1_at_k__std,f1_at_k__count,truth_cosine__mean,truth_cosine__std,truth_cosine__count,sign_agreement_relevant__mean,sign_agreement_relevant__std,sign_agreement_relevant__count,clean_target_reconstruction_r2__mean,clean_target_reconstruction_r2__std,clean_target_reconstruction_r2__count,clean_target_reconstruction_cosine__mean,clean_target_reconstruction_cosine__std,clean_target_reconstruction_cosine__count
r5_final_inverse_map_complete_2026-08-31,AIME,0.0,4.851462941671083,0.010257032616106086,60,0.9999999999999999,0.0,60,1.0,0.0,60,0.9991839645268352,0.0008170206893398441,60,0.9977777777777778,0.008384962476441035,60,0.5695962789233152,0.24290908469277836,60,0.9593787726909345,0.01298345376492723,60
r5_final_inverse_map_complete_2026-08-31,AIME,0.05,6.652130787430649,1.6938023470879906,60,0.8717032533248533,0.19645813844848922,60,0.8350000000000001,0.22385300867204225,60,0.7874492080916455,0.15289560848051575,60,0.925,0.05810082800347397,60,-0.19345074293722467,0.712447877223567,60,0.9003725958623909,0.023664147729596574,60
r5_final_inverse_map_complete_2026-08-31,AIME,0.1,7.910785948131069,2.6903581218774177,60,0.8193836217954448,0.2432681973664015,60,0.78,0.26219413172659756,60,0.7091389925444992,0.16291345750207706,60,0.9161111111111111,0.07064184263556478,60,-0.9080895384032438,1.161654697754233,60,0.8456331772907236,0.04677417772291405,60
r5_final_inverse_map_complete_2026-08-31,HuberAIME,0.0,4.851462941671083,0.010257032616106086,60,0.9999999999999999,0.0,60,1.0,0.0,60,0.9991839645268352,0.0008170206893398441,60,0.9977777777777778,0.008384962476441035,60,0.5695962789233152,0.24290908469277836,60,0.9593787726909345,0.01298345376492723,60
r5_final_inverse_map_complete_2026-08-31,HuberAIME,0.05,4.948775487315923,0.1142158510679822,60,0.9999999999999999,0.0,60,1.0,0.0,60,0.981793104447684,0.018861229001151912,60,0.9816666666666667,0.027736315571946286,60,0.535933544863765,0.2631974621452843,60,0.9585024434114611,0.009814265681641872,60
r5_final_inverse_map_complete_2026-08-31,HuberAIME,0.1,5.050630494223919,0.22295227749932267,60,0.9999999999999999,0.0,60,1.0,0.0,60,0.9658895279557947,0.03317872781276409,60,0.975,0.02648596970732051,60,0.5098900534048878,0.2824720699371601,60,0.953704382453969,0.015366552850246627,60
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.0,4.848892260514064,0.010464003107121318,60,0.9999999999999999,0.0,60,1.0,0.0,60,0.9991847375572879,0.0008160167491996014,60,0.9977777777777778,0.008384962476441035,60,0.5695974792227223,0.2429080522335717,60,0.9593788607368477,0.01298338575818732,60
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.05,4.945869115932299,0.11172847384993848,60,0.9999999999999999,0.0,60,1.0,0.0,60,0.9818106588839285,0.018836332612150588,60,0.9816666666666667,0.027736315571946286,60,0.5359903050834769,0.26313029807835386,60,0.9585055793633631,0.009812044335190085,60
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.1,5.047368139643764,0.2198282598400188,60,0.9999999999999999,0.0,60,1.0,0.0,60,0.965923335555149,0.03313327849103965,60,0.975,0.02648596970732051,60,0.5100104922687071,0.2823261364421794,60,0.9537112458534871,0.015361263294130513,60
r5_final_inverse_map_complete_2026-08-31,RidgeAIME,0.0,4.848892260514064,0.010464003107121318,60,0.9999999999999999,0.0,60,1.0,0.0,60,0.9991847375572879,0.0008160167491996014,60,0.9977777777777778,0.008384962476441035,60,0.5695974792227223,0.2429080522335717,60,0.9593788607368477,0.01298338575818732,60
r5_final_inverse_map_complete_2026-08-31,RidgeAIME,0.05,6.64638556061917,1.6871458986784036,60,0.8718818247534248,0.19635339059887774,60,0.8350000000000001,0.22385300867204225,60,0.787527471727283,0.1528037154325325,60,0.925,0.05810082800347397,60,-0.19216423808509214,0.7108896865654034,60,0.9004296774317732,0.023621058400570112,60
r5_final_inverse_map_complete_2026-08-31,RidgeAIME,0.1,7.903119222841257,2.68117025947743,60,0.8193919274432854,0.24325523612792674,60,0.78,0.26219413172659756,60,0.7092096781461313,0.16283735024477772,60,0.9161111111111111,0.07064184263556478,60,-0.9055546980641549,1.158510524700586,60,0.8457245035976096,0.046723032320039895,60
r5_final_inverse_map_complete_2026-08-31,ZeroOperator,0.0,0.0,0.0,60,0.1,0.0,60,0.10333333333333335,0.09736645207000494,60,,,0,0.0,0.0,60,-4.581415868172937,3.2725653782451043,60,,,0
r5_final_inverse_map_complete_2026-08-31,ZeroOperator,0.05,0.0,0.0,60,0.1,0.0,60,0.11666666666666668,0.09236381026315277,60,,,0,0.0,0.0,60,-4.704638128818585,3.0790238799955696,60,,,0
r5_final_inverse_map_complete_2026-08-31,ZeroOperator,0.1,0.0,0.0,60,0.1,0.0,60,0.10333333333333335,0.09382035966145968,60,,,0,0.0,0.0,60,-4.592450796467412,3.3619636679604175,60,,,0
