pipeline_version,experiment_mode,dataset,learner,repeat,method,outlier_rate,clone_frac,n_outlier_rows,n_clones,d_original,d_total,model_fit_time_sec,model_test_accuracy,model_test_log_loss,n_explanation_fit,n_explanation_val,explain_time_sec,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,ridge_lambda,huber_delta,residual_mode,effective_delta_on_l2_norm,clean_target_reconstruction_mse,clean_target_reconstruction_rmse,clean_target_reconstruction_r2,clean_target_reconstruction_cosine,observed_target_reconstruction_mse,observed_target_reconstruction_rmse,observed_target_reconstruction_r2,observed_target_reconstruction_cosine,operator_cosine_flat,operator_spearman_global,operator_topk_jaccard,clone_mass_ratio,clone_topk_infiltration,irrelevant_decoy_mass_ratio,irrelevant_decoy_topk_infiltration,outlier_weight_ap,mean_weight_outlier_rows,mean_weight_nonoutlier_rows,bootstrap_cosine_flat,bootstrap_spearman_global,bootstrap_topk_jaccard,error,log10_cond_reg,log10_coef_norm
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,breast_cancer,lgbm,0,RidgeAIME,0.05,0.0,9,0,30,30,1.168182999943383,0.935672514619883,0.3509590460274741,119,52,0.00017458293586969376,X ~= Y A^T,SVD normal-system solve,1.6758085025043756,1.6756540225132737,43.7373162500142,43.7473162500142,73.2953664484966,73.3053664484966,43.74731625001419,7.33053664484966e-11,5.259559820979988,1,True,1.0,0.0,0.01,1.0,rms,5.477225575051661,0.5529351308777437,0.7435960804615256,0.03725142130679748,0.42738713788736343,1.5753718496945883,1.255138179522314,0.012246943554848566,0.2739343965133627,0.9750241410743973,0.9648498331479423,1.0,0.0,0.0,0.024295773274441025,0.0,0.04201680672268908,1.0,1.0,0.967746557648318,0.9381535038932147,0.8272727272727274,,0.2241843534206279,0.7209493990361096
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,breast_cancer,lgbm,0,HuberRidgeAIME,0.05,0.0,9,0,30,30,1.168182999943383,0.935672514619883,0.3509590460274741,119,52,0.000567625043913722,X ~= Y A^T,SVD normal-system solve,1.682192400448708,1.6820246028572556,40.64567297713296,40.655672977132944,68.37384219325648,68.3838421932565,40.65567297713296,6.83838421932565e-11,5.095240218362864,7,True,0.930497790619303,0.15966386554621848,0.01,1.0,rms,5.477225575051661,0.5200819035675173,0.7211670427629907,0.09445414931613183,0.46212652193159137,1.5401601353891046,1.2410318833088474,0.0343245745818711,0.29677431732721943,0.9966261071733127,0.9853170189098998,0.6666666666666666,0.0,0.0,0.01685683855450392,0.0,0.9666666666666666,0.18154677422811116,0.9633465194083904,0.9855777284767722,0.9579977753058955,0.7606060606060606,,0.22583234390363013,0.7071646639165686
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,breast_cancer,lgbm,0,RidgeAIME,0.05,0.25,9,8,30,38,1.168182999943383,0.935672514619883,0.3509590460274741,119,52,0.0001639999682083726,X ~= Y A^T,SVD normal-system solve,1.8852976203554275,1.885078664849445,40.42276355997675,40.43276355997675,76.20893994781426,76.21893994781426,40.43276355997675,7.621893994781427e-11,5.679034423115061,1,True,1.0,0.0,0.01,1.0,rms,6.164414002968976,0.7479299486881908,0.8648294332920168,0.24658367193134856,0.510318310935652,1.4485436445786295,1.2035545872866047,0.1290051144525869,0.3827212519522727,0.9814524278932644,0.9728635518109202,1.0,0.2256416845397628,0.25,0.020339579189092967,0.0,0.04201680672268908,1.0,1.0,0.976765486753542,0.9492504650399388,0.8393939393939395,,0.2753294781477498,0.7542745011405136
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,breast_cancer,lgbm,0,HuberRidgeAIME,0.05,0.25,9,8,30,38,1.168182999943383,0.935672514619883,0.3509590460274741,119,52,0.0006634589517489076,X ~= Y A^T,SVD normal-system solve,1.9281874612910532,1.927942135402335,37.82487613725118,37.83487613725118,72.9334518927349,72.94345189273488,37.834876137251186,7.294345189273489e-11,5.288523111372591,7,True,0.9489030436118755,0.13445378151260504,0.01,1.0,rms,6.164414002968976,0.7251359615804429,0.85154915394265,0.2695448624798543,0.5259209320664368,1.428025564070797,1.1950002360128624,0.1413424321788821,0.39241942843585825,0.9960623451869038,0.9886201991465149,0.8181818181818182,0.23063674558349084,0.25,0.01924483582778616,0.0,0.8600000000000001,0.35195979596939325,0.9750847649997038,0.9882061584482145,0.9655542181857972,0.8363636363636365,,0.2850939949959689,0.723334406603578
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,breast_cancer,lgbm,0,RidgeAIME,0.05,0.5,9,15,30,45,1.168182999943383,0.935672514619883,0.3509590460274741,119,52,0.00014879205264151096,X ~= Y A^T,SVD normal-system solve,1.8873939735088323,1.8871734607110484,40.232288992971014,40.242288992971005,75.93417978579922,75.94417978579922,40.24228899297101,7.594417978579922e-11,6.46236551568418,1,True,1.0,0.0,0.01,1.0,rms,6.708203932499369,0.8050475246622604,0.8972444063142776,0.18049262637936003,0.4651409764793849,2.8336013548592796,1.6833304354342553,0.0473364735804952,0.2607624629297801,0.9661238536721822,0.8802371541501975,0.5384615384615384,0.3217447866537885,0.26666666666666666,0.015600091716801026,0.0,0.05042016806722689,1.0,1.0,0.9604143438563408,0.8897628458498023,0.6593739593739594,,0.27581182044441643,0.8103915183605703
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,breast_cancer,lgbm,0,HuberRidgeAIME,0.05,0.5,9,15,30,45,1.168182999943383,0.935672514619883,0.3509590460274741,119,52,0.0006459170253947377,X ~= Y A^T,SVD normal-system solve,1.9556002819172127,1.9553406946547094,36.80229474437164,36.81229474437164,71.97057797729354,71.98057797729355,36.81229474437165,7.198057797729353e-11,5.849965978251876,8,True,0.9356618733373383,0.15126050420168066,0.01,1.0,rms,6.708203932499369,0.7548642435216194,0.8688292372622018,0.23157727376646453,0.4987984756265863,2.7812213497711333,1.6676994182918976,0.06494675608391498,0.28060505947985015,0.9964589349762843,0.9906455862977601,1.0,0.31476414426895283,0.13333333333333333,0.01300187721901741,0.0,0.976190476190476,0.25714548997436953,0.9716892919229827,0.9862878226181973,0.9553623188405795,0.8787878787878787,,0.29122243892754834,0.7671533403556096
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,breast_cancer,lgbm,0,RidgeAIME,0.1,0.0,17,0,30,30,1.168182999943383,0.935672514619883,0.3509590460274741,119,52,0.00013820803724229336,X ~= Y A^T,SVD normal-system solve,1.8873939735088323,1.8871734607110484,40.232288992971014,40.242288992971005,75.93417978579922,75.94417978579922,40.24228899297101,7.594417978579922e-11,5.542374433513349,1,True,1.0,0.0,0.01,1.0,rms,5.477225575051661,0.8063854723409626,0.8979896838722383,0.20163693787420556,0.48653282495550026,4.088783739740196,2.022074118260801,0.020485119998505663,0.21631833165768694,0.9680935062410275,0.9314794215795328,0.6666666666666666,0.0,0.0,0.02798829031349435,0.0,0.09243697478991597,1.0,1.0,0.9594358524503136,0.8961512791991101,0.7701298701298702,,0.27581182044441643,0.7436958626435398
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,breast_cancer,lgbm,0,HuberRidgeAIME,0.1,0.0,17,0,30,30,1.168182999943383,0.935672514619883,0.3509590460274741,119,52,0.0006190419662743807,X ~= Y A^T,SVD normal-system solve,2.013941376784026,2.01365531364754,35.43467103453803,35.44467103453803,71.36335016918656,71.37335016918655,35.44467103453803,7.137335016918655e-11,5.05640492639217,8,True,0.9147993101335488,0.19327731092436976,0.01,1.0,rms,5.477225575051661,0.7649212204784982,0.8745977478123862,0.24268867829007845,0.5100405486714554,4.0321351457117585,2.00801771548753,0.03405593819627706,0.23199957234308208,0.9956026917939066,0.9724137931034482,0.8181818181818182,0.0,0.0,0.0171005700812454,0.0,0.9757575757575757,0.32396807737475886,0.974976565321944,0.9850980721494181,0.9520800889877641,0.8242424242424242,,0.30398513245784625,0.7038418457838257
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,breast_cancer,lgbm,0,RidgeAIME,0.1,0.25,17,8,30,38,1.168182999943383,0.935672514619883,0.3509590460274741,119,52,0.00013279193080961704,X ~= Y A^T,SVD normal-system solve,1.8967377833676067,1.8965146901366514,40.18565181459178,40.19565181459178,76.22164414599125,76.23164414599125,40.19565181459178,7.623164414599125e-11,5.4462465148512775,1,True,1.0,0.0,0.01,1.0,rms,6.164414002968976,0.8777727191690501,0.9368952551747981,0.2753609136310521,0.5299330413104303,3.995269218344627,1.9988169546871035,0.0730623901297327,0.28777281184332254,0.8893842406065862,0.6750191487033592,0.5384615384615384,0.1972936757152252,0.25,0.02626793737329578,0.0,0.11764705882352941,1.0,1.0,0.9351895866648346,0.8131086552139184,0.5862137862137862,,0.2779562110359501,0.7360972950312388
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,breast_cancer,lgbm,0,HuberRidgeAIME,0.1,0.25,17,8,30,38,1.168182999943383,0.935672514619883,0.3509590460274741,119,52,0.0005807499401271343,X ~= Y A^T,SVD normal-system solve,2.025786483084342,2.025491397630172,34.752353365383264,34.76235336538326,70.40084770296406,70.41084770296406,34.76235336538326,7.041084770296407e-11,4.866461933680518,8,True,0.901476120471768,0.19327731092436976,0.01,1.0,rms,6.164414002968976,0.7955396310582018,0.8919302837431868,0.343247860373203,0.6069341355159039,3.9183875800519536,1.9794917479120628,0.09089960663436869,0.32688392191642063,0.9838493607213723,0.9608272239851188,1.0,0.21079050019768078,0.375,0.021842542413719662,0.0,0.9767984116723614,0.30513580494944914,0.9809881625414104,0.9796862787035352,0.9376955903271693,0.8636363636363636,,0.30653040305173196,0.6872133305970121
