pipeline_version,method,condition,bootstrap_cosine__mean,bootstrap_cosine__std,bootstrap_cosine__count,bootstrap_spearman__mean,bootstrap_spearman__std,bootstrap_spearman__count,bootstrap_topk__mean,bootstrap_topk__std,bootstrap_topk__count,noise_cosine__mean,noise_cosine__std,noise_cosine__count,noise_spearman__mean,noise_spearman__std,noise_spearman__count,noise_topk__mean,noise_topk__std,noise_topk__count,added_clone_mass__mean,added_clone_mass__std,added_clone_mass__count,explain_time_sec__mean,explain_time_sec__std,explain_time_sec__count
r5_final_inverse_map_complete_2026-08-31,AIME,clean,0.9721204754377548,0.03137039615472123,6,0.9161960160237723,0.0963234609439866,6,0.6657828282828283,0.1333524227678521,6,0.9995049834977469,0.0006817750513604636,6,0.9960074058334487,0.004773895461721141,6,0.8989898989898991,0.049484641268347014,6,0.0,0.0,6,0.0007801596269321939,0.0007793619577685586,6
r5_final_inverse_map_complete_2026-08-31,AIME,joint_high_stress,0.9323351970193413,0.05587423663210959,6,0.8288213117342386,0.14567901372349054,6,0.48532262944027654,0.16444559506274561,6,0.9946808979598094,0.00805797069972707,6,0.976924658389767,0.04408825557686839,6,0.9494949494949495,0.045622585012671545,6,0.2914676771453326,0.11671920597386772,6,0.0010512781445868313,0.0012188831147706067,6
r5_final_inverse_map_complete_2026-08-31,HuberAIME,clean,0.9750703378923807,0.02767423375488931,6,0.9311980336523299,0.08275298959283342,6,0.701675775205187,0.13008715623183228,6,0.9995079588640011,0.0006713682368887265,6,0.9968267471619686,0.004316763478401544,6,0.9393939393939394,0.0766612766101425,6,0.0,0.0,6,0.002581985822568337,0.00299122118239416,6
r5_final_inverse_map_complete_2026-08-31,HuberAIME,joint_high_stress,0.9764152143371218,0.023957936085923788,6,0.9182900432590496,0.08572949870567467,6,0.638496225996226,0.19045900586623488,6,0.9978633963077067,0.0030771827607721817,6,0.9849458694709948,0.022137237057939366,6,0.9107744107744109,0.09655142675821363,6,0.29348818435361607,0.12022685739256031,6,0.0029812496504746377,0.0035087782844458143,6
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,clean,0.9750699243417943,0.027674850537626142,6,0.9311799858615486,0.08278982182642056,6,0.701675775205187,0.13008715623183228,6,0.9995079671431609,0.0006713569214603372,6,0.9968267150667254,0.004316735741479123,6,0.9393939393939394,0.0766612766101425,6,0.0,0.0,6,0.002551069677186509,0.002987715954367416,6
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,joint_high_stress,0.976414786275491,0.023958363738974114,6,0.9182701811736579,0.08575807881864736,6,0.638496225996226,0.19045900586623488,6,0.9978634194909164,0.0030771476243431437,6,0.9849459017881698,0.022137263225204897,6,0.9107744107744109,0.09655142675821363,6,0.2934881246819356,0.12022675080259504,6,0.0029968193266540766,0.0035148739319151067,6
r5_final_inverse_map_complete_2026-08-31,LIME,clean,0.9465102249290834,0.08144008301426207,6,0.8647572773228407,0.07509132362008679,6,0.7166642997525351,0.27987307322252303,6,0.9292896677991987,0.10501335936958867,6,0.5788210220830013,0.22624686300729585,6,0.6723023708317827,0.2925393505771238,6,0.0,0.0,6,0.09936836099950597,0.08143463556135556,6
r5_final_inverse_map_complete_2026-08-31,LIME,joint_high_stress,0.958246035115779,0.06045521259836639,6,0.8824211882912928,0.05452380197774256,6,0.7702519702519703,0.18600194809363368,6,0.9336634241692948,0.09539510682541916,6,0.63410997575113,0.19013052156313964,6,0.7728567728567729,0.16926827135723557,6,0.3103545390455993,0.17839127794157408,6,0.10714720849258204,0.08720421404820254,6
r5_final_inverse_map_complete_2026-08-31,RidgeAIME,clean,0.9721200085003695,0.031371049820196346,6,0.9161963071466452,0.09632374280571468,6,0.6657828282828283,0.1333524227678521,6,0.9995049921449586,0.0006817629215590502,6,0.9960074171611817,0.004773906729364738,6,0.8989898989898991,0.049484641268347014,6,0.0,0.0,6,0.0006662153173238039,0.0007520124684555629,6
r5_final_inverse_map_complete_2026-08-31,RidgeAIME,joint_high_stress,0.9323344935334315,0.05587510002941472,6,0.8288208802999502,0.14567852987038263,6,0.48532262944027654,0.16444559506274561,6,0.9946809404364005,0.00805789157833887,6,0.9769246860902029,0.04408827278595111,6,0.9494949494949495,0.045622585012671545,6,0.2914678214559134,0.116719169704393,6,0.0007767570011007289,0.0009105049558966296,6
r5_final_inverse_map_complete_2026-08-31,SHAP_TreeSHAP,clean,0.9703534963271365,0.03867591681220719,6,0.9716366138352633,0.020080515177744774,6,0.8014652014652014,0.1604541916052349,6,0.9982950248228639,0.0016297367726755046,6,0.985079832130396,0.017830437776701673,6,0.9440559440559441,0.08711838602739824,6,0.0,0.0,6,0.0037800068578993282,0.003081463068257987,6
r5_final_inverse_map_complete_2026-08-31,SHAP_TreeSHAP,joint_high_stress,0.96820645056605,0.041411290352215614,6,0.967185301548069,0.03118756934513663,6,0.7826173826173827,0.15597489186917696,6,0.9948458699289194,0.005599739778750166,6,0.9827417262852022,0.019231454895912575,6,0.8565138565138565,0.11366293572714456,6,0.3596793761446276,0.2672728788943913,6,0.0037324929726310074,0.0026357789231587886,6
