pipeline_version,dataset,learner,repeat,method,ridge_lambda,huber_delta,outlier_rate,clone_frac,n_outlier_rows,n_clones,d_original,d_total,model_fit_time_sec,model_test_accuracy,model_test_log_loss,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,residual_mode,effective_delta_on_l2_norm,clean_target_reconstruction_mse,clean_target_reconstruction_rmse,clean_target_reconstruction_r2,clean_target_reconstruction_cosine,operator_cosine_flat,operator_spearman_global,operator_topk_jaccard,clone_mass_ratio,clone_topk_infiltration,irrelevant_decoy_mass_ratio,irrelevant_decoy_topk_infiltration,outlier_weight_ap,mean_weight_outlier_rows,mean_weight_nonoutlier_rows,bootstrap_cosine_flat,bootstrap_spearman_global,bootstrap_topk_jaccard,log10_cond_reg,log10_coef_norm
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,RidgeAIME,0.0,1.0,0.1,0.5,17,15,30,45,1.1054098330205306,0.935672514619883,0.3509590460274741,X ~= Y A^T,SVD normal-system solve,1.8780196432401657,1.8780196432401657,40.53334834378025,40.53334834378025,76.12242439591554,76.12242439591554,40.533348343780254,7.612242439591555e-11,5.80192722702535,1,True,1.0,0.0,rms,6.708203932499369,0.9006413187014187,0.9490212424921893,0.23490509323093967,0.4872712555635012,0.9578612022383387,0.9339920948616601,0.6666666666666666,0.3261354067665034,0.06666666666666667,0.02102941664543165,0.0,0.10084033613445378,1.0,1.0,0.9648748482574108,0.9038998682476942,0.793939393939394,0.27370013047865205,0.7635722771899253
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,HuberRidgeAIME,0.0,0.5,0.1,0.5,17,15,30,45,1.1054098330205306,0.935672514619883,0.3509590460274741,X ~= Y A^T,SVD normal-system solve,2.2386090094033797,2.2386090094033797,26.455280700037665,26.455280700037665,59.22302972139967,59.22302972139967,26.45528070003766,5.922302972139967e-11,5.7152767799749,14,True,0.7347810070471068,0.6974789915966386,rms,3.3541019662496847,0.8710838877369799,0.9333187492689622,0.2600141343314263,0.5119719866492802,0.9947203135368241,0.981159420289855,1.0,0.34149665833307524,0.06666666666666667,0.017534354733400682,0.0,0.9811507936507938,0.15072924955506944,0.8002821387284567,0.9870077633141762,0.9274571805006586,0.8181818181818181,0.3499782472696883,0.7570372672956274
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,HuberRidgeAIME,0.0,1.0,0.1,0.5,17,15,30,45,1.1054098330205306,0.935672514619883,0.3509590460274741,X ~= Y A^T,SVD normal-system solve,1.8554292152057539,1.8554292152057539,37.240853359703046,37.240853359703046,69.09776732278638,69.09776732278638,37.24085335970304,6.90977673227864e-11,5.724378103834101,9,True,0.9115107434305451,0.19327731092436976,rms,6.708203932499369,0.8707269316179768,0.933127500193825,0.2603173685967418,0.5123308272157967,0.9960980502430262,0.9814229249011857,0.8181818181818182,0.3414562792414242,0.13333333333333333,0.01867824469371682,0.0,0.9811507936507936,0.302353446814195,0.9798274495931264,0.9862774021378387,0.942292490118577,0.8303030303030303,0.2684443906266339,0.7577283118427196
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,HuberRidgeAIME,0.0,2.0,0.1,0.5,17,15,30,45,1.1054098330205306,0.935672514619883,0.3509590460274741,X ~= Y A^T,SVD normal-system solve,1.82605770918217,1.82605770918217,39.52425685686785,39.52425685686785,72.17357393317978,72.17357393317978,39.524256856867844,7.217357393317978e-11,5.783837434351529,6,True,0.9583335623470561,0.09243697478991597,rms,13.416407864998739,0.8743595661534364,0.9350719577409197,0.2572314451291834,0.5092155054703706,0.9889810078109447,0.9581027667984189,0.8181818181818182,0.3364302928749931,0.06666666666666667,0.018877974883946255,0.0,0.8501400560224092,0.5947724321475071,0.999106773210557,0.9810476011693966,0.9373913043478259,0.7878787878787878,0.26151449849035896,0.762216077793345
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,RidgeAIME,1e-06,1.0,0.1,0.5,17,15,30,45,1.1054098330205306,0.935672514619883,0.3509590460274741,X ~= Y A^T,SVD normal-system solve,1.8780196432401657,1.8780196215785057,40.53334834378025,40.533349343780245,76.12242439591554,76.12242539591554,40.533349343780245,7.612242539591554e-11,5.801927099835549,1,True,1.0,0.0,rms,6.708203932499369,0.9006413185443428,0.9490212424094325,0.2349050933643757,0.4872712552688056,0.9578612017588412,0.9339920948616601,0.6666666666666666,0.3261354065188534,0.06666666666666667,0.021029416702532267,0.0,0.10084033613445378,1.0,1.0,0.9648748479683114,0.9038998682476942,0.793939393939394,0.273700125469365,0.7635722676693251
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,HuberRidgeAIME,1e-06,0.5,0.1,0.5,17,15,30,45,1.1054098330205306,0.935672514619883,0.3509590460274741,X ~= Y A^T,SVD normal-system solve,2.2386090014493862,2.238608954630417,26.455280795829236,26.45528179582924,59.223029725414406,59.2230307254144,26.45528179582924,5.92230307254144e-11,5.715276545201209,14,True,0.7347810079333721,0.6974789915966386,rms,3.3541019662496847,0.871083888713237,0.9333187497919653,0.26001413350209557,0.5119719861478403,0.9947203130131863,0.981159420289855,1.0,0.34149665772804716,0.06666666666666667,0.017534354875783108,0.0,0.9811507936507938,0.15072924968272441,0.8002821396998001,0.9870077632564425,0.9274571805006586,0.8181818181818181,0.34997823664362737,0.7570372494555603
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,HuberRidgeAIME,1e-06,1.0,0.1,0.5,17,15,30,45,1.1054098330205306,0.935672514619883,0.3509590460274741,X ~= Y A^T,SVD normal-system solve,1.8554292164663488,1.8554291934961664,37.24085333683304,37.24085433683304,69.09776732729834,69.09776832729834,37.24085433683304,6.909776832729834e-11,5.724377957864311,9,True,0.9115107432797493,0.19327731092436976,rms,6.708203932499369,0.8707269320589475,0.9331275004301114,0.26031736822213714,0.5123308271232248,0.9960980501934296,0.9814229249011857,0.8181818181818182,0.3414562790107182,0.13333333333333333,0.018678244743481825,0.0,0.9811507936507936,0.30235344696008887,0.9798274494090571,0.9862774020561001,0.942292490118577,0.8303030303030303,0.268444385545139,0.7577283007683506
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,HuberRidgeAIME,1e-06,2.0,0.1,0.5,17,15,30,45,1.1054098330205306,0.935672514619883,0.3509590460274741,X ~= Y A^T,SVD normal-system solve,1.8260577093553414,1.8260576884553232,39.524256852918946,39.52425785291894,72.17357393281333,72.17357493281332,39.524257852918936,7.217357493281334e-11,5.783837301414729,6,True,0.9583335623107925,0.09243697478991597,rms,13.416407864998739,0.8743595664308607,0.9350719578892636,0.25723144489351135,0.5092155053653116,0.9889810076987758,0.9581027667984189,0.8181818181818182,0.3364302926954253,0.06666666666666667,0.0188779749287999,0.0,0.8501400560224092,0.5947724321720873,0.9991067731674697,0.9810476010829303,0.9373913043478259,0.7878787878787878,0.26151449356085693,0.7622160678114394
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,RidgeAIME,1e-05,1.0,0.1,0.5,17,15,30,45,1.1054098330205306,0.935672514619883,0.3509590460274741,X ~= Y A^T,SVD normal-system solve,1.8780196432401657,1.878019426623611,40.53334834378025,40.53335834378025,76.12242439591554,76.12243439591555,40.53335834378026,7.612243439591554e-11,5.801925955127616,1,True,1.0,0.0,rms,6.708203932499369,0.9006413171306727,0.9490212416646282,0.23490509456528852,0.4872712526165449,0.9578611974433643,0.9339920948616601,0.6666666666666666,0.32613540429000326,0.06666666666666667,0.02102941721643771,0.0,0.10084033613445378,1.0,1.0,0.9648748453664183,0.9038998682476942,0.793939393939394,0.2737000803857895,0.7635721819839348
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,HuberRidgeAIME,1e-05,0.5,0.1,0.5,17,15,30,45,1.1054098330205306,0.935672514619883,0.3509590460274741,X ~= Y A^T,SVD normal-system solve,2.2386089298635006,2.2386084616740183,26.45528165795252,26.45529165795252,59.223029761546584,59.22303976154659,26.45529165795252,5.922303976154658e-11,5.715274432239066,14,True,0.7347810159097528,0.6974789915966386,rms,3.3541019662496847,0.8710838974995907,0.9333187544990139,0.26001412603808716,0.5119719816348776,0.9947203083004453,0.981159420289855,1.0,0.3414966522827986,0.06666666666666667,0.017534356157224318,0.0,0.9811507936507938,0.15072925083161817,0.8002821484418801,0.9870077627368394,0.9274571805006586,0.8181818181818181,0.3499781410091187,0.7570370888950062
