pipeline_version,dataset,design,singular_index,singular_value,normalized_singular_value,pseudoinverse_filter,truncated_svd_filter,ridge_filter
r5_final_inverse_map_complete_2026-08-31,breast_cancer,Y_unweighted,0,8.69513379401331,1.0,0.1150068559828844,0.1150068559828844,0.11499164652430174
r5_final_inverse_map_complete_2026-08-31,breast_cancer,Y_unweighted,1,6.406320699014054,0.7367708020116805,0.15609583831073304,0.15609583831073304,0.15605781340321967
r5_final_inverse_map_complete_2026-08-31,breast_cancer,sqrtW_Y_huber,0,8.303136835716158,1.0,0.1204364109355002,0.1204364109355002,0.12041894425303859
r5_final_inverse_map_complete_2026-08-31,breast_cancer,sqrtW_Y_huber,1,5.921711751390571,0.7131897099320554,0.16887009060601002,0.16887009060601002,0.1688219474697643
r5_final_inverse_map_complete_2026-08-31,credit_approval,Y_unweighted,0,8.70268621467765,1.0,0.11490704999950872,0.11490704999950872,0.11489188010059982
r5_final_inverse_map_complete_2026-08-31,credit_approval,Y_unweighted,1,7.491466937243507,0.860822365927506,0.1334852050175304,0.1334852050175304,0.13346142446059103
r5_final_inverse_map_complete_2026-08-31,credit_approval,sqrtW_Y_huber,0,8.261197349121051,1.0,0.12104782850955556,0.12104782850955556,0.12103009448202633
r5_final_inverse_map_complete_2026-08-31,credit_approval,sqrtW_Y_huber,1,6.817355444688622,0.8252260727573532,0.14668444503346184,0.14668444503346184,0.14665289071879808
r5_final_inverse_map_complete_2026-08-31,har,Y_unweighted,0,10.908701463048677,1.0,0.09166993921204329,0.09166993921204329,0.09166223648805238
r5_final_inverse_map_complete_2026-08-31,har,Y_unweighted,1,10.74342289713682,0.9848489239098064,0.09308020447249687,0.09308020447249687,0.09307214077252271
r5_final_inverse_map_complete_2026-08-31,har,Y_unweighted,2,10.295011257387117,0.9437430561519784,0.09713442511123596,0.09713442511123596,0.09712526124907074
r5_final_inverse_map_complete_2026-08-31,har,Y_unweighted,3,10.03901852647482,0.9202762180705232,0.09961133126339074,0.09961133126339074,0.09960144839202842
r5_final_inverse_map_complete_2026-08-31,har,Y_unweighted,4,9.74081754855369,0.8929401525515213,0.10266078745602615,0.10266078745602615,0.10264996893223141
r5_final_inverse_map_complete_2026-08-31,har,Y_unweighted,5,9.270284419041031,0.8498064091718435,0.10787155547741495,0.10787155547741495,0.1078590047097315
r5_final_inverse_map_complete_2026-08-31,har,sqrtW_Y_huber,0,10.491887920177517,1.0,0.09531173108291083,0.09531173108291083,0.09530307344095325
r5_final_inverse_map_complete_2026-08-31,har,sqrtW_Y_huber,1,10.237617707013737,0.9757650658205393,0.097678974603135,0.097678974603135,0.09766965576344216
r5_final_inverse_map_complete_2026-08-31,har,sqrtW_Y_huber,2,9.713572390499078,0.9258173995376353,0.10294873603640489,0.10294873603640489,0.10293782623033691
r5_final_inverse_map_complete_2026-08-31,har,sqrtW_Y_huber,3,9.565918705795184,0.9117442712477369,0.10453778991391431,0.10453778991391431,0.10452636711622793
r5_final_inverse_map_complete_2026-08-31,har,sqrtW_Y_huber,4,9.36722730441174,0.8928066498305914,0.10675517605183169,0.10675517605183169,0.10674301090567773
r5_final_inverse_map_complete_2026-08-31,har,sqrtW_Y_huber,5,8.457720540674712,0.8061199857471993,0.11823516693307831,0.11823516693307831,0.11821864049356527
