index,outlier_rate,clone_frac,method,bootstrap_topk_jaccard_mean,bootstrap_topk_jaccard_std,bootstrap_spearman_global_mean,bootstrap_spearman_global_std,bootstrap_cosine_flat_mean,bootstrap_cosine_flat_std,noise_topk_jaccard_mean,noise_topk_jaccard_std,noise_spearman_global_mean,noise_spearman_global_std,noise_cosine_flat_mean,noise_cosine_flat_std,decoy_decoy_mass_ratio_mean,decoy_decoy_mass_ratio_std,decoy_decoy_resistance_mass_mean,decoy_decoy_resistance_mass_std,decoy_decoy_topk_infiltration_mean,decoy_decoy_topk_infiltration_std,cond_raw_median_mean,cond_raw_median_std,cond_reg_median_mean,cond_reg_median_std,lambda_min_reg_median_mean,lambda_min_reg_median_std,coef_l2_norm_mean_mean,coef_l2_norm_mean_std,explain_time_sec_mean,explain_time_sec_std,test_accuracy_mean,test_accuracy_std
0,0.0,0.0,AIME,0.5264470699197221,0.21964656034750638,0.5570340076605182,0.33612437192190003,0.38916952039508873,0.2459503467294571,0.32675368712305414,0.3064597405387301,0.613989357010989,0.3345938262670799,0.29727845695334537,0.3274170627444788,0.09515992963048028,0.08345724812506844,0.9048400703695196,0.08345724812506848,0.23045267489711935,0.18567125193416842,8.642886354218416e+16,1.239010259608486e+17,8.642886354218416e+16,1.239010259608486e+17,0.005248532590410137,0.00790608608952299,1.353575363354896e+44,4.908607795203893e+44,0.0737556404481573,0.1052635106316523,0.9201919183358288,0.06026143480868589
1,0.0,0.0,HuberAIME,0.5744339255261168,0.1641369805865713,0.6453394523061794,0.23132069104877273,0.4622423706025745,0.24543909191617327,0.3038875779458855,0.31268944213808464,0.58892148134395,0.3512752730893503,0.2871161694787909,0.3273783555850074,0.09455394946940186,0.09083945326584766,0.9054460505305981,0.0908394532658477,0.2345679012345679,0.20948164065484748,8.63609244468094e+16,1.2394995046165533e+17,8.63609244468094e+16,1.2394995046165533e+17,0.005240239406009387,0.0078947615086774,2.0605180590346403e+32,1.0706765904478956e+33,0.12050437043998735,0.16777659008529108,0.9201919183358288,0.06026143480868589
2,0.0,0.0,HuberRidgeAIME,0.40093804125308546,0.19271010896812574,0.7179789554690162,0.12524912035162952,0.6671750340402641,0.19538725537890114,0.29603195270119936,0.2942259627110713,0.4722568240663491,0.3619253373880303,0.43218646468020294,0.26635078342794,0.11135195941396868,0.09953309418776372,0.8886480405860313,0.09953309418776374,0.2767489711934156,0.2259938325234661,8.642863735248648e+16,1.2390118809955339e+17,8673743.805355921,12367813.336270455,0.015240545567824679,0.007895128545728677,1.7890366328671021,1.6519334529305945,0.043610276302960875,0.061568721052036625,0.9201919183358288,0.06026143480868589
3,0.0,0.0,RidgeAIME,0.3973103750437199,0.1900070091050806,0.7132918114771764,0.13646168569324396,0.6674342082548795,0.1951737033633606,0.29443406889012325,0.28957645268630894,0.4659308379827355,0.3589625193575694,0.43371982976533935,0.26862580885908804,0.1116511941488423,0.09949391711373003,0.8883488058511576,0.09949391711373008,0.2726337448559671,0.2222271683526795,8.642886354218416e+16,1.239010259608486e+17,8673831.663432296,12367750.055357259,0.015248532590392692,0.007906086089529793,1.779854480319602,1.6532666054935934,0.03811098000517598,0.05438691816595524,0.9201919183358288,0.06026143480868589
4,0.0,0.25,AIME,0.34204028452107804,0.1532283433121495,0.6286317589163084,0.26437077568123557,0.27976834215944396,0.3195676261377627,0.20249893017135878,0.16741462880234959,0.588843436668368,0.1754180560478052,0.17561743550307188,0.18947690904625955,0.014461440124196293,0.018093287137795695,0.9855385598758036,0.01809328713779572,0.030864197530864196,0.04769953176710319,1.0206052560194578e+17,1.4622777243153587e+17,1.0206052560194578e+17,1.4622777243153587e+17,0.0013156672276580404,0.001898431041849034,5.595799670772817e+20,1.6270455116795444e+21,0.10952351063800354,0.1576256071454779,0.9133533915303557,0.0711325027662355
5,0.0,0.25,HuberAIME,0.35248853695706117,0.15341051486780685,0.6411356794394385,0.2671540144092895,0.2808860693506279,0.335406123606228,0.20517556687792327,0.16437876008383473,0.60582239388186,0.15513020346284362,0.1495996768717793,0.19241682336841803,0.013328936038325204,0.014804722306945744,0.9866710639616748,0.01480472230694578,0.029835390946502054,0.042843720628731485,1.0195762077946227e+17,1.4630185471986915e+17,1.0195762077946227e+17,1.4630185471986915e+17,0.0013153272985872442,0.001897910311311824,3127119213251980.0,1.107383306533214e+16,0.1858125062146293,0.2621419452279505,0.9133533915303557,0.0711325027662355
6,0.0,0.25,HuberRidgeAIME,0.34586832543632223,0.19585553980900375,0.7478273835448251,0.0836677085473652,0.6410028778601515,0.11477379795315777,0.23833105128254764,0.18106539716079087,0.5809976962894567,0.12607989009011966,0.3608282960987721,0.10278612311250708,0.0299745217240315,0.022272037608275737,0.9700254782759685,0.022272037608275754,0.09876543209876543,0.08962480267664459,1.0206025596979429e+17,1.462279655311159e+17,10275640.80510341,14572602.90905698,0.011315339363040137,0.0018979277341509282,3.829047738406413,1.859438843617922,0.06276071436823932,0.08919149096631547,0.9133533915303557,0.0711325027662355
7,0.0,0.25,RidgeAIME,0.34860721992358273,0.19724705408060983,0.7490236056366483,0.0827769993861707,0.6428616599031012,0.11578624414661133,0.23886806570845098,0.1822102375318228,0.5807918209375449,0.12544495716287432,0.3613986692243679,0.10175178849402076,0.029933966198888794,0.022216046990617824,0.9700660338011112,0.022216046990617813,0.09567901234567901,0.08625000286735388,1.0206052560194578e+17,1.4622777243153587e+17,10275680.291764606,14572574.430751914,0.011315667227695898,0.0018984310418018405,3.842568081968485,1.8582146165075468,0.05590997385378513,0.08052523623748802,0.9133533915303557,0.0711325027662355
8,0.0,0.5,AIME,0.2873186982807439,0.12652262551430174,0.5708521675330845,0.30880393760680436,0.3034557997555619,0.32963484659149667,0.15259158594211913,0.11099453050689043,0.49962612924790667,0.1603685600838236,0.13114165204273506,0.1711795552674563,0.008888963095673242,0.009613126289455683,0.9911110369043267,0.00961312628945567,0.016460905349794237,0.024676515006803738,1.0151969012223778e+17,1.453008587427934e+17,1.0151969012223778e+17,1.453008587427934e+17,0.0010025907845627826,0.0014530027760741903,5.921513018172115e+44,1.4607797681760537e+45,0.11659799077272139,0.16819970766260284,0.9181832735354221,0.07045597956742326
9,0.0,0.5,HuberAIME,0.30495471039130023,0.10375644220788477,0.6359629047696033,0.20515938508967546,0.36489107407749255,0.31319184332899447,0.14266645767118763,0.10878212449505886,0.5185193714413184,0.13238208368713364,0.1740468706446619,0.15812082183700996,0.010345326950135882,0.010566023454191454,0.9896546730498641,0.010566023454191555,0.0205761316872428,0.028403834476187412,1.0122986341331118e+17,1.4550934311149706e+17,1.0122986341331118e+17,1.4550934311149706e+17,0.0010024752819417556,0.0014528227350121298,2.130855547493572e+44,7.919949865795861e+44,0.17241099993353365,0.24334781952583662,0.9181832735354221,0.07045597956742326
