n,d,C,repeat,method,runtime_sec,n_times_d,cond_raw_median,cond_reg_median,lambda_min_raw_median,lambda_min_reg_median,mean_iter,mean_huber_weight,frac_downweighted,coef_l2_norm_mean
500,20,3,0,AIME,0.0008743330254219472,10000,21.503328444014166,21.503328444014166,87.87091869241118,87.87091869241118,1.0,1.0,0.0,0.13745947884044313
500,20,3,0,HuberAIME,0.0010797909926623106,10000,21.503328444014166,21.503328444014166,87.87091869241118,87.87091869241118,2.0,1.0,0.0,0.13745947884044313
500,20,3,0,RidgeAIME,0.0005747500108554959,10000,21.503328444014166,21.500995363210173,87.87091869241118,87.88091869241113,1.0,1.0,0.0,0.13745633258580922
500,20,3,0,HuberRidgeAIME,0.0006979170138947666,10000,21.503328444014166,21.500995363210173,87.87091869241118,87.88091869241113,2.0,1.0,0.0,0.13745633258580922
500,20,3,1,AIME,0.0005257090087980032,10000,21.338943163887553,21.338943163887553,89.94504507680533,89.94504507680533,1.0,1.0,0.0,0.17499384555482037
500,20,3,1,HuberAIME,0.0006427919724956155,10000,21.338943163887553,21.338943163887553,89.94504507680533,89.94504507680533,2.0,1.0,0.0,0.17499384555482037
500,20,3,1,RidgeAIME,0.0007154589984565973,10000,21.338943163887553,21.33668215194023,89.94504507680533,89.95504507680532,1.0,1.0,0.0,0.17498589783099397
500,20,3,1,HuberRidgeAIME,0.0008272090344689786,10000,21.338943163887553,21.33668215194023,89.94504507680533,89.95504507680532,2.0,1.0,0.0,0.17498589783099397
500,20,3,2,AIME,0.0005084999720565975,10000,23.537332737378605,23.537332737378605,82.2294571252596,82.2294571252596,1.0,1.0,0.0,0.1961591198864269
500,20,3,2,HuberAIME,0.0006154169677756727,10000,23.537332737378605,23.537332737378605,82.2294571252596,82.2294571252596,2.0,1.0,0.0,0.1961591198864269
500,20,3,2,RidgeAIME,0.0004782920004799962,10000,23.537332737378605,23.53459228486041,82.2294571252596,82.23945712525963,1.0,1.0,0.0,0.19615032648823205
500,20,3,2,HuberRidgeAIME,0.0006088750087656081,10000,23.537332737378605,23.53459228486041,82.2294571252596,82.23945712525963,2.0,1.0,0.0,0.19615032648823205
