dataset,learner,repeat,outlier_rate,clone_frac,condition,method,n_total,n_test,d_before,d_after,n_outlier_rows,n_clones,fit_time_sec,test_accuracy,test_log_loss,explain_time_sec,cond_raw_median,cond_reg_median,lambda_min_raw_median,lambda_min_reg_median,mean_iter,mean_huber_weight,frac_downweighted,coef_l2_norm_mean,bootstrap_topk_jaccard,bootstrap_spearman_global,bootstrap_cosine_flat,bootstrap_relative_l2_similarity,noise_topk_jaccard,noise_spearman_global,noise_cosine_flat,noise_relative_l2_similarity,decoy_decoy_mass_ratio,decoy_decoy_resistance_mass,decoy_decoy_topk_infiltration,decoy_decoy_best_rank,decoy_decoy_best_rank_percentile,error
breast_cancer,lgbm,0,0.0,0.0,out0.00_clone0.00,AIME,569,171,30,30,0,0,0.9677327910321765,0.9590643274853801,0.13996107960576665,0.003871958004310727,140543.62732968517,140543.62732968517,0.016274251215642938,0.016274251215642938,1.0,1.0,0.0,1.7045861066253005,0.55994005994006,0.5803856136447904,0.6490036727764069,-0.10947118243787361,0.6237928737928737,0.8061179087875416,0.746765833403362,0.31621080927241474,0.1042086703496633,0.8957913296503367,0.3611111111111111,5.583333333333333,0.8567708333333334,
breast_cancer,lgbm,0,0.0,0.0,out0.00_clone0.00,HuberAIME,569,171,30,30,0,0,0.9677327910321765,0.9590643274853801,0.13996107960576665,0.0013583329855464399,140015.94358224812,140015.94358224812,0.016160118753739013,0.016160118753739013,10.5,0.9986238485292231,0.005847953216374269,1.8558524894120845,0.47191697191697196,0.5725991842788284,0.6689190247447292,-0.02639954361156316,0.6237928737928737,0.8045050055617353,0.7081956873857438,0.2749180083362345,0.09577840131527232,0.9042215986847277,0.3611111111111111,6.0,0.84375,
breast_cancer,lgbm,0,0.0,0.0,out0.00_clone0.00,RidgeAIME,569,171,30,30,0,0,0.9677327910321765,0.9590643274853801,0.13996107960576665,0.0004989579902030528,140543.62732968517,87052.9964542739,0.016274251215642938,0.02627425121572255,1.0,1.0,0.0,1.5849059969773085,0.5492562992562993,0.5391916944753431,0.6699502429742998,0.07389047938991372,0.6237928737928737,0.81440489432703,0.7830175958364844,0.36286766720976155,0.09661808798295739,0.9033819120170424,0.3611111111111111,5.666666666666667,0.8541666666666666,
breast_cancer,lgbm,0,0.0,0.0,out0.00_clone0.00,HuberRidgeAIME,569,171,30,30,0,0,0.9677327910321765,0.9590643274853801,0.13996107960576665,0.0014840420335531235,140003.07363849293,86492.73861768153,0.016163598418198435,0.026163598418244803,10.5,0.9986328403895801,0.005847953216374269,1.6690750896845084,0.46398046398046394,0.5477196885428254,0.6782459333680037,0.11426053802017162,0.6237928737928737,0.8246384872080089,0.7712819780063018,0.3457539696894888,0.09035138767570555,0.9096486123242945,0.3611111111111111,6.166666666666667,0.8385416666666666,
breast_cancer,svm,0,0.0,0.0,out0.00_clone0.00,AIME,569,171,30,30,0,0,0.0051585829933173954,0.9766081871345029,0.08572671261719529,0.0010383329936303198,140543.62732968517,140543.62732968517,0.016274251215642938,0.016274251215642938,1.0,1.0,0.0,1.1774862143405382,0.3981541334482512,0.40630329996292175,0.49234035099685797,-0.6254677548529797,0.6885198135198135,0.8014460511679644,0.647999972529548,0.1536193777239634,0.12346427344927229,0.8765357265507276,0.3611111111111111,4.75,0.8828125,
breast_cancer,svm,0,0.0,0.0,out0.00_clone0.00,HuberAIME,569,171,30,30,0,0,0.0051585829933173954,0.9766081871345029,0.08572671261719529,0.0013165419804863632,139995.85550527333,139995.85550527333,0.016197234384661894,0.016197234384661894,10.5,0.9988278164764481,0.008771929824561403,1.2083611371250293,0.5041208791208792,0.4664441972562106,0.47468214878437515,-0.6176162887179463,0.7074592074592074,0.8204671857619577,0.589698926095891,0.11556063874499027,0.12192798256560977,0.8780720174343903,0.3611111111111111,4.5,0.890625,
breast_cancer,svm,0,0.0,0.0,out0.00_clone0.00,RidgeAIME,569,171,30,30,0,0,0.0051585829933173954,0.9766081871345029,0.08572671261719529,0.00048741704085841775,140543.62732968517,87052.9964542739,0.016274251215642938,0.02627425121572255,1.0,1.0,0.0,1.1145204928700412,0.38205217984629747,0.3077864293659622,0.5321071008493622,-0.33845582916645095,0.6885198135198135,0.6989988876529476,0.704178880360226,0.22161011687916346,0.11568843958162789,0.8843115604183721,0.3333333333333333,5.333333333333333,0.8645833333333334,
breast_cancer,svm,0,0.0,0.0,out0.00_clone0.00,HuberRidgeAIME,569,171,30,30,0,0,0.0051585829933173954,0.9766081871345029,0.08572671261719529,0.0012716249912045896,139991.50024108193,86557.7736302572,0.016198822335392656,0.026198822335497692,10.5,0.9988396148736962,0.008771929824561403,1.121914872042702,0.3881796308266896,0.40515387467556546,0.5211902456013116,-0.35044837754351726,0.7074592074592074,0.8114571746384871,0.6731182341894111,0.19805902268814057,0.11417260154127555,0.8858273984587245,0.3611111111111111,4.416666666666667,0.8932291666666666,
breast_cancer,mlp,0,0.0,0.0,out0.00_clone0.00,AIME,569,171,30,30,0,0,0.017252666992135346,0.9239766081871345,0.3335962758180425,0.0006644580280408263,140543.62732968517,140543.62732968517,0.016274251215642938,0.016274251215642938,1.0,1.0,0.0,0.7652241860836848,0.5262515262515263,0.6492028179458658,0.5406725172263295,-0.18353328751629708,0.7651515151515151,0.9449388209121246,0.8724363954041999,0.5157749404719534,0.1116944420138118,0.8883055579861883,0.3333333333333333,6.666666666666667,0.8229166666666666,
breast_cancer,mlp,0,0.0,0.0,out0.00_clone0.00,HuberAIME,569,171,30,30,0,0,0.017252666992135346,0.9239766081871345,0.3335962758180425,0.0005458329687826335,140543.62732968517,140543.62732968517,0.016274251215642938,0.016274251215642938,2.0,1.0,0.0,0.7652241860836848,0.5262515262515263,0.6492028179458658,0.5406725172263295,-0.18353328751629708,0.7651515151515151,0.9449388209121246,0.8724363954041999,0.5157749404719534,0.1116944420138118,0.8883055579861883,0.3333333333333333,6.666666666666667,0.8229166666666666,
