dataset,protocol,learner,n_after_protocol,d_after_protocol,raw_missing_cells,method,fit_time_sec,test_accuracy,test_log_loss,cond_raw_median,cond_reg_median,lambda_min_raw_median,lambda_min_reg_median,mean_iter,mean_huber_weight,frac_downweighted,coef_l2_norm_mean,bootstrap_topk_jaccard,bootstrap_spearman_global,bootstrap_cosine_flat,bootstrap_relative_l2_similarity,decoy_decoy_mass_ratio,decoy_decoy_resistance_mass,decoy_decoy_topk_infiltration,decoy_decoy_best_rank,decoy_decoy_best_rank_percentile
credit_approval,impute,lgbm,690,42,67,AIME,1.016547541017644,0.927536231884058,0.2708038617484471,914406021114992.2,914406021114992.2,-4.5196967896162984e-13,-4.5196967896162984e-13,1.0,1.0,0.0,8.471652126584366e+44,0.14052287581699346,-0.1927990708478513,-0.033424668803361125,-7.6797256587872695,0.20380938950433025,0.7961906104956697,0.3888888888888889,6.0,0.8863636363636364
credit_approval,impute,lgbm,690,42,67,HuberAIME,1.016547541017644,0.927536231884058,0.2708038617484471,912767900449196.2,912767900449196.2,-5.113463462399497e-13,-5.113463462399497e-13,50.0,0.9992589262037954,0.012077294685990338,2.3303550338891304e+21,0.25551899081310847,-0.05140048078221645,-0.010868080863715261,-577080141363.7299,0.2301765129475665,0.7698234870524335,0.3333333333333333,10.333333333333334,0.787878787878788
credit_approval,impute,lgbm,690,42,67,RidgeAIME,1.016547541017644,0.927536231884058,0.2708038617484471,914406021114992.2,91441.60211571769,-4.5196967896162984e-13,0.009999999999538671,1.0,1.0,0.0,0.34536272654966094,0.4493284493284493,0.6642112448520773,0.891376081730888,0.4954819754767614,0.2501865724232272,0.7498134275767727,0.5,1.5,0.9886363636363638
credit_approval,impute,lgbm,690,42,67,HuberRidgeAIME,1.016547541017644,0.927536231884058,0.2708038617484471,912765839160027.1,91277.58392078339,-5.142864733527656e-13,0.009999999999476258,7.5,0.9988058830851511,0.014492753623188406,0.3466654645807409,0.4493284493284493,0.6633821331120988,0.8917800122156625,0.4971049191163015,0.2462303346928206,0.7537696653071794,0.5,1.5,0.9886363636363638
credit_approval,complete_case,lgbm,653,37,67,AIME,1.0161342920036986,0.8724489795918368,0.33669788386311383,748909420374175.1,748909420374175.1,-6.298137540830256e-13,-6.298137540830256e-13,1.0,1.0,0.0,3880184486073981.5,0.5382765382765382,0.6091354512407143,0.3297191406010946,-1.3864308391106377e+31,0.050111682364857586,0.9498883176351424,0.38888888888888884,5.333333333333333,0.888888888888889
credit_approval,complete_case,lgbm,653,37,67,HuberAIME,1.0161342920036986,0.8724489795918368,0.33669788386311383,748909420374175.1,748909420374175.1,-6.298137540830256e-13,-6.298137540830256e-13,2.0,1.0,0.0,3880184486073981.5,0.5596440596440596,0.6013513513513513,0.40907796650713957,-1.3864308391106375e+31,1.2814043938711101e-15,0.9999999999999987,0.27777777777777773,7.0,0.8461538461538461
credit_approval,complete_case,lgbm,653,37,67,RidgeAIME,1.0161342920036986,0.8724489795918368,0.33669788386311383,748909420374175.1,74891.94204248543,-6.298137540830256e-13,0.009999999999323286,1.0,1.0,0.0,0.3279275452225151,0.6813741813741814,0.6375713250043534,0.9423025954146159,0.6582030875480723,0.33807968833531565,0.6619203116646842,0.611111111111111,1.0,1.0
credit_approval,complete_case,lgbm,653,37,67,HuberRidgeAIME,1.0161342920036986,0.8724489795918368,0.33669788386311383,748778825958256.5,74878.88260066975,-6.286629048695453e-13,0.009999999999353085,6.5,0.9990186091627238,0.01020408163265306,0.3290543776656817,0.6813741813741814,0.6322765284459216,0.9418371967476794,0.6572821771763573,0.3351058948814682,0.6648941051185319,0.611111111111111,1.0,1.0
credit_approval,impute,svm,690,42,67,AIME,0.016334042011294514,0.8454106280193237,0.363948406737692,914406021114992.2,914406021114992.2,-4.5196967896162984e-13,-4.5196967896162984e-13,1.0,1.0,0.0,2.4285740546919732e+45,0.12962962962962962,-0.18358858007184722,-0.003489318525027686,-1.689591614328422,0.2672714353068213,0.7327285646931788,0.4444444444444444,5.833333333333333,0.8901515151515151
credit_approval,impute,svm,690,42,67,HuberAIME,0.016334042011294514,0.8454106280193237,0.363948406737692,9144060.211149938,9144060.211149938,-1.8875661181322493e-21,-1.8875661181322493e-21,50.0,1.0,0.0,0.23038002720035128,0.4493284493284493,0.6593739027091268,0.8665728552924602,0.4521962889962446,0.32892513480601354,0.6710748651939865,0.5555555555555555,1.1666666666666667,0.9962121212121212
