dataset,learner,repeat,outlier_rate,clone_frac,condition,method,n_total,n_test,d_before,d_after,n_outlier_rows,n_clones,fit_time_sec,test_accuracy,test_log_loss,explain_time_sec,cond_raw_median,cond_reg_median,lambda_min_raw_median,lambda_min_reg_median,mean_iter,mean_huber_weight,frac_downweighted,coef_l2_norm_mean,bootstrap_topk_jaccard,bootstrap_spearman_global,bootstrap_cosine_flat,bootstrap_relative_l2_similarity,noise_topk_jaccard,noise_spearman_global,noise_cosine_flat,noise_relative_l2_similarity,decoy_decoy_mass_ratio,decoy_decoy_resistance_mass,decoy_decoy_topk_infiltration,decoy_decoy_best_rank,decoy_decoy_best_rank_percentile,error,log10_cond_raw,log10_cond_reg,log10_coef_l2_norm,stress_group
breast_cancer,lgbm,0,0.0,0.0,out0.00_clone0.00,AIME,569,171,30,30,0,0,0.9677327910321764,0.95906432748538,0.1399610796057666,0.0038719580043107,140543.62732968517,140543.62732968517,0.0162742512156429,0.0162742512156429,1.0,1.0,0.0,1.7045861066253003,0.55994005994006,0.5803856136447904,0.6490036727764069,-0.1094711824378736,0.6237928737928737,0.8061179087875416,0.746765833403362,0.3162108092724147,0.1042086703496633,0.8957913296503367,0.3611111111111111,5.583333333333333,0.8567708333333334,,5.147811158173287,5.147811158173287,0.23161894436672462,all conditions
breast_cancer,lgbm,0,0.0,0.0,out0.00_clone0.00,HuberAIME,569,171,30,30,0,0,0.9677327910321764,0.95906432748538,0.1399610796057666,0.0013583329855464,140015.94358224812,140015.94358224812,0.016160118753739,0.016160118753739,10.5,0.9986238485292231,0.0058479532163742,1.8558524894120845,0.4719169719169719,0.5725991842788284,0.6689190247447292,-0.0263995436115631,0.6237928737928737,0.8045050055617353,0.7081956873857438,0.2749180083362345,0.0957784013152723,0.9042215986847276,0.3611111111111111,6.0,0.84375,,5.146177491503582,5.146177491503582,0.2685434537900201,all conditions
breast_cancer,lgbm,0,0.0,0.0,out0.00_clone0.00,RidgeAIME,569,171,30,30,0,0,0.9677327910321764,0.95906432748538,0.1399610796057666,0.000498957990203,140543.62732968517,87052.9964542739,0.0162742512156429,0.0262742512157225,1.0,1.0,0.0,1.5849059969773085,0.5492562992562993,0.5391916944753431,0.6699502429742998,0.0738904793899137,0.6237928737928737,0.81440489432703,0.7830175958364844,0.3628676672097615,0.0966180879829573,0.9033819120170424,0.3611111111111111,5.666666666666667,0.8541666666666666,,5.147811158173287,4.939783724576376,0.20000350869591077,all conditions
breast_cancer,lgbm,0,0.0,0.0,out0.00_clone0.00,HuberRidgeAIME,569,171,30,30,0,0,0.9677327910321764,0.95906432748538,0.1399610796057666,0.0014840420335531,140003.07363849293,86492.73861768153,0.0161635984181984,0.0261635984182448,10.5,0.99863284038958,0.0058479532163742,1.6690750896845084,0.4639804639804639,0.5477196885428254,0.6782459333680037,0.1142605380201716,0.6237928737928737,0.8246384872080089,0.7712819780063018,0.3457539696894888,0.0903513876757055,0.9096486123242944,0.3611111111111111,6.166666666666667,0.8385416666666666,,5.146137570318123,4.936979648382208,0.222475875506121,all conditions
breast_cancer,svm,0,0.0,0.0,out0.00_clone0.00,AIME,569,171,30,30,0,0,0.0051585829933173,0.9766081871345028,0.0857267126171952,0.0010383329936303,140543.62732968517,140543.62732968517,0.0162742512156429,0.0162742512156429,1.0,1.0,0.0,1.1774862143405382,0.3981541334482512,0.4063032999629217,0.4923403509968579,-0.6254677548529797,0.6885198135198135,0.8014460511679644,0.647999972529548,0.1536193777239634,0.1234642734492722,0.8765357265507276,0.3611111111111111,4.75,0.8828125,,5.147811158173287,5.147811158173287,0.07095583123967628,all conditions
breast_cancer,svm,0,0.0,0.0,out0.00_clone0.00,HuberAIME,569,171,30,30,0,0,0.0051585829933173,0.9766081871345028,0.0857267126171952,0.0013165419804863,139995.85550527333,139995.85550527333,0.0161972343846618,0.0161972343846618,10.5,0.998827816476448,0.0087719298245614,1.2083611371250291,0.5041208791208792,0.4664441972562106,0.4746821487843751,-0.6176162887179463,0.7074592074592074,0.8204671857619577,0.589698926095891,0.1155606387449902,0.1219279825656097,0.8780720174343903,0.3611111111111111,4.5,0.890625,,5.146115178836576,5.146115178836576,0.08219674920339541,all conditions
breast_cancer,svm,0,0.0,0.0,out0.00_clone0.00,RidgeAIME,569,171,30,30,0,0,0.0051585829933173,0.9766081871345028,0.0857267126171952,0.0004874170408584,140543.62732968517,87052.9964542739,0.0162742512156429,0.0262742512157225,1.0,1.0,0.0,1.1145204928700412,0.3820521798462974,0.3077864293659622,0.5321071008493622,-0.3384558291664509,0.6885198135198135,0.6989988876529476,0.704178880360226,0.2216101168791634,0.1156884395816278,0.8843115604183721,0.3333333333333333,5.333333333333333,0.8645833333333334,,5.147811158173287,4.939783724576376,0.04708805833312905,all conditions
breast_cancer,svm,0,0.0,0.0,out0.00_clone0.00,HuberRidgeAIME,569,171,30,30,0,0,0.0051585829933173,0.9766081871345028,0.0857267126171952,0.0012716249912045,139991.50024108193,86557.7736302572,0.0161988223353926,0.0261988223354976,10.5,0.9988396148736962,0.0087719298245614,1.121914872042702,0.3881796308266896,0.4051538746755654,0.5211902456013116,-0.3504483775435172,0.7074592074592074,0.8114571746384871,0.6731182341894111,0.1980590226881405,0.1141726015412755,0.8858273984587245,0.3611111111111111,4.416666666666667,0.8932291666666666,,5.1461016677464,4.937306077331247,0.049959905044303976,all conditions
breast_cancer,mlp,0,0.0,0.0,out0.00_clone0.00,AIME,569,171,30,30,0,0,0.0172526669921353,0.9239766081871345,0.3335962758180425,0.0006644580280408,140543.62732968517,140543.62732968517,0.0162742512156429,0.0162742512156429,1.0,1.0,0.0,0.7652241860836848,0.5262515262515263,0.6492028179458658,0.5406725172263295,-0.183533287516297,0.7651515151515151,0.9449388209121246,0.8724363954041999,0.5157749404719534,0.1116944420138118,0.8883055579861883,0.3333333333333333,6.666666666666667,0.8229166666666666,,5.147811158173287,5.147811158173287,-0.11621131188482832,all conditions
breast_cancer,mlp,0,0.0,0.0,out0.00_clone0.00,HuberAIME,569,171,30,30,0,0,0.0172526669921353,0.9239766081871345,0.3335962758180425,0.0005458329687826,140543.62732968517,140543.62732968517,0.0162742512156429,0.0162742512156429,2.0,1.0,0.0,0.7652241860836848,0.5262515262515263,0.6492028179458658,0.5406725172263295,-0.183533287516297,0.7651515151515151,0.9449388209121246,0.8724363954041999,0.5157749404719534,0.1116944420138118,0.8883055579861883,0.3333333333333333,6.666666666666667,0.8229166666666666,,5.147811158173287,5.147811158173287,-0.11621131188482832,all conditions
